"id","profileName","text","date","title","rating","images","helpful"
"R1C1EXH9RIZHM9","Rajeev Prashar","
  As I invested 11 precious hours of my life on reading this book cover to cover ; I think I'm eligible to comment on its content . Then let me inform you friends that ""ANYTHING BUT CONTENT "" is present in this book . The book starts with a story at a pace so slow that it tests your patience to the extent of boredom . But I kept my patience and continued . And you know what I found ? Initial part of book is full of long insipid monologues and YOU CAN SKIP FIRST 8 CHAPTERS ( 26% OF BOOK ) WITHOUT ANY GUILT . The author present only vague data and fancy quotes copied from internet or bestseller books . There is NO SOLID , RELIABLE & PRACTICAL ADVICE as you expect from a (highly marketed ) Master called Robin Sharma . This is not a time management / life management book . It seems to be a boring travelogue of some eccentric rich person. The idea of its creators is "" WHEN YOU ARE LACKING A SCRIPT ; THEN CREATE A SCENE "" . Let me elaborate this . Here is a piece from masterpiece taken as it is . { An assistant wearing a crisp shirt the color of the sky and pressed Bermuda shorts the hue of a tomato, with red leather sandals, ran down from the home of the titan of industry. } I must tell you that almost 80 % of the book is full of such paragraphs where Cars , Helicopters , Beaches , islands , vineyards , female character's blouse fitting is discussed when you are expecting some life changing advice .  There is also a Non sense chapter on Taj Mahal . I want to ask the author what emperor Shah Jahan's (debatable) love for his wife has to do with my morning routine ?In the conclusion , I must say that author didn't put serious efforts while writing this book . When you are popular celebrity ; you develop a tendency to RELY MORE ON MARKETING & LESS ON CRAFT . And that's what Sharma Ji did . It is an avoidable book . Amazon's format doesn't allow my to rate anything lesser than 1 ; otherwise I wanted to rate it 0.5 .
","Reviewed in India on 21 December 2018","10% Stuff 90% Fluff !!!",1,"","3180"
"RV6BMP5GDLDYT","narendra varma","
  Hi, Robin, today is my 66th day of 5AC. and I completed the mission successfully. I really wanted to say thank you very much from the beginning of the Day1 but I just waited for this moment. During this 66day journey I encountered so many troubles and giving up scenarios but I always remember your words, ALL CHANGE IS HARD AT FIRST, MESSY IN THE MIDDLE AND GORGEOUS AT THE END. I really owned my morning and elevating my life..Few benefits I have gained during this journey : I never skipped from childhood but I always wanted to, but now I am skipping for 50 non stop... I even not able to solve one side of a Rubix cube but now I solve it completely within 3 mins... I am not at all a gym or running person, but now there is no day without them... As a professional, I am a research student working on Epigenetics(you know a few things about it). Now I am so fascinated to see how my 5AC helps to me in my research field...All in all, I AM REALLY THANKFUL FOR YOU FROM MY BOTTOM OF MY HEART,❤️❤️❤️ for writing the masterpiece and sharing valuable ideas of 5AC...BTW, I met you on my 43rd day at Mumbai, and you said it's amazing.. 😃😃😃
","Reviewed in India on 12 March 2019","Life transforming book",5,"https://images-na.ssl-images-amazon.com/images/I/81HHcSi+TRL.jpg","878"
"R3H4M1MVD7CJAG","Vijaykumar","
  Morning Miracle by Hal Elrod is way better than this One of the crap. You'll get Idea after reading Kindle sample ebook of both books. Don't waste money. Always read sample first before any book purchase. Lesson learnt.
","Reviewed in India on 19 December 2018","Instead go for Morning Miracle by Hal Elrod. Waste of Money.",1,"","794"
"R98QZDCYM0JYC","Prahlad ","
  Ever since I joined PGIMER, Chandigarh as a postgraduate resident, automatically I had become a life member of 5 AM Club.  Whatever I am today, I attribute it to this 'keystone' habit of mine.  Robin Sharma's new book, ""The 5 AM club"" has further reinforced my belief in rising early in the morning.Robin Sharma has emerged as a master storyteller ever since his first book ""The monk who sold his Ferrari,"" published way back in 1997.  I read that book sometime around the year 2000.  And ever since then, I have become his ardent fan.  I have the entire collection of his books, and personally, I have been benefitted in every walk of my life.  (I hope he does not ask for a royalty!)Robin created a lot of buzz around this new book for the past four years, and he has lived up to the expectations.  ""The 5 AM Club"" is not a story.  It has all the lessons required to succeed in our personal, family and professional lives.  Robin compels us to change for better, with his signature quote, ""Change is hard at first, messy in the middle and gorgeous at the end.""  He has introduced several innovative infographics to help readers understand his masterly concepts as he passionately narrates his story.  There are also several cinematic twists and turns to keep the readers bound to the book.  And of-course there are many of his game changing formulas.  The book can easily be made into a motion picture as it follows  Aaron Sorkin's 3-act structure.  And now Robin has become a poet also! There are 2 - 3 beautiful poems.Here are the three most important take-home messages for me from this brand new Robin's page-turner:1. ""Life's is too short to play small with your talents.""2. ""Your excuses are seducers, your fears are liars, and your doubts are thieves.""3. ""The moment when you most feel like giving up is the instant when you must find it in you to press ahead.""Robin has been my Dronacharya, and I hope this review of this Ekalavya for his book will be an apt Guru Dakshina (Royalty!).Dr. Prahlada N.BChitradurga.
","Reviewed in India on 3 January 2019","Join the 5 AM Club and elevate your life!",5,"","338"
"R379FDSXX993GF","Sundeep","
  This is the best book i have read in my life!!!!! This is one book that could change your life forever. It could be your doorway to new realms of happiness, peace, prosperity in your life.  Also please consider gifting this book to your near and dear ones (this would indirectly contribute to fighting battle against leprosy)
","Reviewed in India on 19 December 2018","A book that could change your life!!!!",5,"","137"
"R3FRUXM8N74VEF","Arunkumar R","
  A practical narration of things which could be followed by everyone who has a strong grit and attitude in life to achieve something which could help oneself and others
","Reviewed in India on 6 March 2020","Simply Superb",5,"","94"
"R2CRMQT3RV540D","Disha Chhabra","
  I became a huge fan of Robin Sharma after I read Monk who sold the Ferrari. But all his work after that has been harping around the same lessons and insights. His books are becoming less novel and more repetitive. Even his characters have lost the novelty.
","Reviewed in India on 2 January 2019","Nothing new to learn",2,"","77"
"R1IS9TWW2ETGSQ","Hari","
  The book is just a bad novel.I think the idea of 5 AM got left out somewhere. Instead of explaining principles,the author went about knitting a hypothetical and a boring story.
","Reviewed in India on 25 December 2018","Worst from Sharma",2,"","75"
"R3T2W6MET7K3YP","Ramesh Singh","
  Title looked attractive the reason I pre-ordered for it. But it did not create interest from beginning.....starting with protagonist's desire to commit suicide....that too by taking a 'gigantic bottle of pills' (typical problem of substance abuse found in the developed world, as per the World Happiness Report-2018)! Okay, may be the writer has tried to show the importance of his ideas by starting with extreme negative!Secondly, the book seems promoting his profession as 'motivational speaker' where he is most in demand!Actually, the book seems targeting the audience of western world who have seldom been taught the importance of waking early in the morning (though 'early to bed & early to rise makes a man healthy, wealthy and wise' is a western old proverb!).....! But it ""fails to impress"" the typical Indian following Ayurvedic and Yogic way of life where waking up by 3am (Brahmamuhurt) is followed! May be advising for waking up by 3AM would have very difficult to follow in the western world as people remain awake late night!This is another thing that very few Indians today wake up early morning or before sunrise at least what to ask at 3am! For this we can also blame the western development model promoted by the World Bank/IMF, influenced by specially the USA...! This development model gave rise to a different lifestyle in which waking up early from bed was not professed. A time came when whole world aspiring the so-called process of development somehow started following 'the American way of life' (the way of life which was suggested by the experts USA to change to protect environment and reverse the process of climate change at the United Nations Framework Convention on Climate Change, 2002. This was bluntly and shamelessly rejected by the then US President J W Bush saying American life is not made for compromises!). So, we have an imposed lifestyle and have forgotten our indigenous knowledge of living our life. Robin Sharma from this perspective is doing great job- teaching Americans to change their lifestyle. This will make citizens of other countries also to change their lifestyle.In India, already the IT industry in Bangalore has started facing the crisis (losses running over 3 billion US dollars) due health and substance abuse issues of the IT professionals......as most of them dream/copy the US lifestyle. For such people this will be a ""good book"", undoubtedly.Had this book been written more concisely it would have left better impact as the old wisdom of 'early to bed and early to rise' is ""strongly"" backed by recent scientific research and proofs!
","Reviewed in India on 8 January 2019","Old Indian wisdom but backed with sound & new scientific facts targeting western readers !!!",2,"https://images-na.ssl-images-amazon.com/images/I/719q904+afL.jpg","61"
"R23L1W00II0PHR","Amazon Customer","
  This book is nothing more than a collection of quotes from here and there.Quotes have been deliberately put into a not-at-all impressive story by stating examples like he wore a hat/tee-shirt/watch blah blah which had this or that quote written.Highly disappointed by this book. I wanted more of an actionable checklist to install the habit of waking of early. Only 3 pages in this book are worth reading if you want to save some time and effort.Page No 232 describing the pre-sleep ritual of iconic producersPage No 235 The Amazing Day DeconstructionPage No 275 Sort of Daily Affirmation for mental toughness and realizing importance of timeJust read these three pages and you will be good to go
","Reviewed in India on 9 January 2019","Not worth the time!",2,"","57"
"R1V7M0DMTZJZ72","Pradeep Thapa","
  I have read Robin Sharma's other books as well, and they have changed my way of thinking, my routine and working style with positivity. Now, with The 5 AM Club, I am excited to see myself growing a level up. Great concept of morning routines for a growing generation.
","Reviewed in India on 24 December 2018","Perfect for Growing Generation",5,"https://images-na.ssl-images-amazon.com/images/I/61lKo1C92YL.jpg","36"
"R1X6H5SRBWN0Y0","Aishwarya","
  The book was delivered in good condition
","Reviewed in India on 1 January 2019","Great book!",5,"https://images-na.ssl-images-amazon.com/images/I/71x6AIlkS6L.jpg
https://images-na.ssl-images-amazon.com/images/I/81fvh+DEp7L.jpg","35"
"RC3SV7QMXD3P4","Arunkumar Venkataraman ","
  Not getting any interest to read the book. First few chapters are xompletey boring. Without any sleeping pills I am getting good sleep. Need more practical ideas.
","Reviewed in India on 25 December 2018","Don’t judge a book by its cover",2,"","28"
"R2PSZDPJ3YAEZ1","S SUJOY","
  Iam a big fan of robin sharma and have read almost all his books. This one was a huge let down for me. There is nothing exiting in this book so much so that I returned the book the very next day.
","Reviewed in India on 5 January 2019","A very boring stuff",1,"","19"
"R2PRGOW4Z03SB2","Shubham Singh","
  Content: I have not read yet but by looking at the content and some of the pages I found it really good and helpful.Quality:  it is really good paperback book in 300rs the quality of the Pages are really good.
","Reviewed in India on 13 February 2019","Self help",5,"https://images-na.ssl-images-amazon.com/images/I/71L2mIGiyyL.jpg","16"
"RCPPEXEBRD41F","Ayesha Jahan","
  It's 0.5 star. The book lacks any real self improvement advice. Pages are filled with unnecessary details, which bore you. Bcoz u r looking for something that catches ur attention and u can relate it to ur life. No such instance in this book.I had heard a lot about this book, so I decided to buy it. But I'm disappointed.  Not very interacting. Can't keep u encaptivated for a long time. It drags thru the pages.What was most disappointing was that it has no real time experiments or exercises or activities to help u change ur life in some way. Brian Tracy books' keep u involved. But no such thing happens here.
","Reviewed in India on 26 November 2019","Reviewed after having read 100s of international bestsellers.",1,"https://images-na.ssl-images-amazon.com/images/I/71rmwgs0kYL.jpg","1"
"R81QH274BHX2W","Himcrown","
  It's weaven around irrelevant storyline, and not much inspiration if you are going by the title. Some other titles justify the subject line a lot better!
","Reviewed in India on 31 December 2018","Much hype, not great content!",2,"","10"
"R2AOZ10IZ1TG7I","Barkha G.","
  This book of robin sharma does clear the why of waking up early in the morning with all the facts. And why it has been difficult to wakeup early all these years and how to overcome it via various step by step guide to own your morning. All of them are easily implementable.Yes the book does test your patience till 8th chapter because of fictional storyline. I personally did not mind the fictional part. I felt it somehow worked as a light reading because of all the heavy content.Overall an amazing read.
","Reviewed in India on 17 January 2019","Truly helpful and implementable read!",4,"","10"
"R3NDNUGGG188VE","Anil  nikose","
  This book is one of the best book on personal mastery, I would recommend all of you to order it for its simple yet profound hack on morning routine
","Reviewed in India on 20 December 2018","Best of Robin sharma",5,"","18"
"R34JT21GO7IZKX","LibroReview","
  n The 5 A.M. Club - an entrepreneur, an artist and a homeless man meet at a seminar held by a spell-binder. All three require different things and are present there for their personal reasons and to gain positivity in general. Little did they know that their life is going to be changed forever. With a few twists and turns here and there, Robin Sharma has tried to make this Self-Help a mixture of both Fiction and Non-fiction. This book mainly tells you the importance of early rising and utilizing the first hour of the day to gain more success in every field of life along with other concepts.I was pretty excited for this read to see how Sharma has helped us utilize the early morning time more efficiently but discovered that is is not just about it.Coming to the language, it is artistic, which is unusual for a Self-Help but this also makes the book a little stretchy. The book is well-structured.While it has many concepts that are life-changing, I was pretty disappointed because I got lesser than anticipated when compared to the number of pages I read. A few chapters were entirely irrelevant to the title of the book and an avid Self-Help reader my also find repetition of some content.However, the concepts given in the book, if implemented can change your life in a practical manner to get a world-class life. One suggestion - check out the index and read chapter wise to save time.In the end, I suggest this book to the people who like a mixture of fiction and Non-fiction or to the beginners of Self-Help Reading.
","Reviewed in India on 21 February 2019","A mix of good and bad",3,"","1"
"R25WRG6VPXSKX2","Nitin","
  Nothing new here.Everything from all neuro psychology stuff packed in one fable (Robin Sharma Style)Framework models are good as everything gets compiled at one place.Message is get up early, exercise,meditate,read,contemplate and grow
","Reviewed in India on 1 January 2019","OK book witj glimpses of everything",3,"","10"
"R340V0ETPQ0ELO","S_T","
  Dont know y some people giving it 1 star... The book is a great masterpiece of Robin Sharma :)
","Reviewed in India on 22 December 2018","Read it and stay wowed...",5,"","11"
"R25WQ5Q8NQVN64","Alien","
  Before you get impressed with 5 Star reviews, please understand this book has a plot of a cheap novel plot like the books of Chetan Bhagat.The message of the book is: ""Wake up at 5 AM and start your day early and it will lead you to success."" This is fine. However, this is explained through ""Chetan Bhagat"" style phony and third grade story.  Robin Sharma disappointed me for the second time. ""The Monk Who ..."" was still tolerable for few pages but this book is totally superficial, half hearted, boring and fake from start till end.I will not read Robin Sharma ever...
","Reviewed in India on 8 June 2019","Phony Hypothetical Vague",1,"","1"
"R2G7WCLIJBSZ6L","Rohit","
  It is by far the worst book written by Robin Sharma.It might become his career killer.Book contains truckloads of nonsense,  need less philosophy, unrelated quotes and almost no practical advise except to convince reader to wake up at 5 am in morning on every page.After reading book it feels like Robin Sharma started believing that his book readers are dumb and fool and he can feed them any kind of crap.Completely irresponsible work from my most favorite author. If same book would written by any new author , it won't get published even for free.Don't waste time on it. Instead you can read Monk who sold his Ferrari once again ,which will give you better returns in productivity in life even if you have read that many times.
","Reviewed in India on 6 March 2019","Amazingly worst book ever written by Robin Sharma",1,"","1"
"R2LMXCZ9KUEA23","Swapnil Dhabekar","
  One should definitely read this book to gain insight and wisdom for personal well-being and development. I love this book beautifully written and as everyone knows robin sharma is known for that only.
","Reviewed in India on 24 December 2018","A must read book for self development",5,"https://images-na.ssl-images-amazon.com/images/I/51yIv3Q+vJL.jpg","11"
