,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
1,1,6,1,3,1,3,1,3,6,5,-1,Death
2,1,4,1,1,1,1,3,2,1,7,6,Death
3,0,1,0,0,3,0,3,4,0,8,8,Death
4,0,3,0,1,2,0,0,3,0,6,6,Death
5,0,4,0,1,4,1,1,4,4,9,5,Death
6,2,2,1,3,1,2,1,1,4,2,-2,Death
7,3,4,3,5,2,1,5,5,6,9,3,Death
8,2,11,3,4,10,6,7,14,5,22,17,Death
9,2,1,1,1,1,1,2,2,1,4,3,Death
10,1,2,0,0,2,1,1,4,2,4,2,Death
11,0,2,0,0,1,0,1,1,2,2,0,Death
12,1,4,3,4,4,3,3,8,5,14,9,Death
13,0,1,0,0,2,0,0,2,0,4,4,Death
14,0,1,0,1,1,0,1,2,2,3,1,Death
15,2,5,0,2,4,1,4,5,2,9,7,Death
16,1,2,1,1,1,1,2,4,1,10,9,Death
17,2,0,1,4,0,3,0,1,3,2,-1,Death
18,3,4,4,4,2,5,3,5,8,9,1,Death
19,0,2,0,0,4,1,1,4,2,6,4,Death
20,1,2,1,2,3,1,1,2,2,5,3,Death
21,0,0,0,0,0,0,0,1,1,2,1,Death
22,1,3,1,1,1,1,2,0,2,4,2,Death
23,0,0,0,1,2,0,0,3,1,5,4,Death
24,1,5,0,1,3,0,0,3,0,7,7,Death
25,2,4,2,2,4,3,2,5,3,9,6,Death
26,4,4,2,5,2,4,4,6,5,9,4,Death
27,2,5,1,3,4,5,1,7,6,16,10,Death
28,1,2,1,1,1,1,1,3,1,3,2,Death
29,2,1,1,2,0,1,1,0,2,0,-2,Death
30,2,3,3,1,0,3,1,5,5,7,2,Death
31,0,3,1,0,3,0,2,6,0,6,6,Death
32,1,1,1,2,2,2,2,4,4,6,2,Death
33,0,2,0,0,1,0,1,3,0,2,2,Death
34,1,4,1,4,1,2,1,0,2,2,0,Death
35,1,3,1,1,2,2,2,2,2,4,2,Death
36,1,2,1,1,0,1,1,0,1,3,2,Death
37,4,4,2,5,3,5,4,4,8,10,2,Death
38,3,3,3,2,3,3,2,4,2,5,3,Death
39,1,1,0,0,0,1,0,0,1,3,2,Death
40,1,3,1,3,1,1,1,2,2,5,3,Death
41,3,3,3,2,1,2,1,2,2,2,0,Death
42,2,2,2,2,1,2,2,2,2,4,2,Death
43,2,3,1,5,2,1,2,2,5,5,0,Death
44,0,0,1,0,0,1,0,2,1,5,4,Death
45,3,2,2,3,1,3,3,1,3,2,-1,Death
46,2,2,1,1,1,1,2,2,1,2,1,Death
47,1,3,1,2,2,1,1,2,2,7,5,Death
48,1,1,1,3,0,3,1,2,3,3,0,Death
49,2,4,2,3,3,2,4,3,3,4,1,Death
50,1,4,1,2,2,1,2,1,2,3,1,Death
51,1,0,0,0,0,0,0,1,1,3,2,Death
52,3,3,2,3,3,3,2,1,3,4,1,Death
53,1,3,1,1,2,2,3,1,2,3,1,Death
54,1,1,2,3,0,2,1,1,6,3,-3,Death
55,0,0,0,0,0,0,0,0,0,0,0,Death
56,1,1,1,1,1,1,1,2,1,5,4,Death
57,1,3,2,2,3,1,3,1,2,7,5,Death
58,1,5,1,3,2,3,1,3,3,6,3,Death
59,0,0,0,1,0,1,0,3,2,3,1,Death
60,1,1,1,1,0,1,1,2,1,5,4,Death
61,3,1,3,5,0,3,1,1,6,3,-3,Death
62,0,0,0,1,1,2,0,0,2,1,-1,Death
63,1,1,1,2,0,2,1,1,2,3,1,Death
64,1,3,2,3,1,2,1,3,4,3,-1,Death
65,1,3,0,1,2,1,1,1,2,2,0,Death
66,1,1,1,1,1,1,1,2,1,2,1,Death
67,0,1,0,0,1,0,0,1,2,2,0,Death
68,2,3,2,2,0,2,1,1,3,3,0,Death
69,1,1,2,3,1,2,2,3,3,4,1,Death
70,0,2,0,0,2,0,1,1,0,3,3,Death
71,2,3,1,2,1,4,2,1,4,5,1,Death
72,1,1,1,1,0,1,1,1,1,1,0,Death
73,1,1,2,1,0,2,1,3,1,5,4,Death
74,1,5,1,1,1,1,1,2,1,3,2,Death
75,0,0,1,0,0,1,1,1,0,4,4,Death
76,0,2,0,1,1,0,0,1,0,5,5,Death
77,0,0,0,0,0,0,0,1,0,1,1,Death
78,1,1,1,1,0,1,1,2,2,4,2,Death
79,0,2,0,0,0,0,0,1,1,3,2,Death
80,2,3,3,3,2,3,1,2,4,3,-1,Death
81,1,3,2,2,2,3,1,2,3,5,2,Death
82,5,2,3,4,1,3,3,1,4,3,-1,Death
83,0,3,0,1,3,0,0,3,0,4,4,Death
84,1,1,1,2,1,2,2,2,2,2,0,Death
85,1,2,1,1,1,2,1,1,1,2,1,Death
86,1,3,1,2,1,2,2,1,2,1,-1,Death
87,0,3,0,1,4,1,3,2,1,5,4,Death
88,1,1,1,1,1,1,2,1,1,1,0,Death
89,1,1,1,1,0,1,1,1,1,0,-1,Death
90,1,3,1,1,1,1,2,1,1,3,2,Death
91,0,0,0,0,0,0,0,0,0,2,2,Death
92,1,5,2,1,3,2,4,4,1,8,7,Death
