,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
1,1,7,1,3,9,3,3,11,6,24,18,Ikigai
2,0,0,1,0,0,0,0,0,1,0,-1,Ikigai
3,3,14,1,2,9,3,1,13,6,22,16,Ikigai
4,2,10,2,1,9,4,3,12,4,14,10,Ikigai
5,0,0,0,0,1,0,0,2,0,2,2,Ikigai
6,0,1,0,0,2,0,1,2,2,2,0,Ikigai
7,0,0,0,0,0,0,0,1,0,1,1,Ikigai
8,0,2,0,0,3,0,0,5,0,3,3,Ikigai
9,1,0,0,0,1,1,1,3,2,6,4,Ikigai
10,1,3,1,0,2,2,0,4,2,11,9,Ikigai
11,0,2,0,0,3,0,2,4,0,4,4,Ikigai
12,1,14,1,4,15,5,2,13,4,27,23,Ikigai
13,1,4,0,2,3,2,2,4,2,6,4,Ikigai
14,0,3,1,1,3,0,1,2,2,5,3,Ikigai
15,1,2,1,0,1,0,1,1,2,3,1,Ikigai
16,1,3,1,2,3,2,2,4,6,6,0,Ikigai
17,1,3,0,0,3,0,1,4,2,5,3,Ikigai
18,2,10,2,1,7,3,2,13,7,18,11,Ikigai
19,1,5,0,1,7,0,1,6,1,20,19,Ikigai
20,1,1,0,1,1,2,0,0,3,2,-1,Ikigai
21,3,14,1,3,14,8,8,15,8,26,18,Ikigai
22,1,2,2,1,4,2,2,2,2,8,6,Ikigai
23,0,6,0,2,3,0,2,2,2,6,4,Ikigai
24,0,0,0,0,0,0,0,0,0,2,2,Ikigai
25,0,0,0,0,0,0,0,0,0,1,1,Ikigai
26,0,1,0,0,1,0,1,2,0,2,2,Ikigai
27,0,2,0,0,6,0,2,5,1,10,9,Ikigai
28,1,2,0,1,3,1,0,2,3,5,2,Ikigai
29,0,7,1,0,5,0,2,5,3,9,6,Ikigai
30,0,4,0,0,5,0,1,5,0,7,7,Ikigai
31,0,0,0,0,0,0,0,0,0,1,1,Ikigai
32,0,0,1,0,1,1,0,2,2,2,0,Ikigai
33,0,1,0,0,1,0,0,2,0,4,4,Ikigai
34,1,2,1,2,2,1,3,3,1,3,2,Ikigai
35,1,3,0,0,3,0,1,3,3,5,2,Ikigai
36,0,1,0,0,1,0,0,1,0,4,4,Ikigai
37,0,6,0,1,8,1,3,7,1,15,14,Ikigai
38,2,4,2,0,3,2,1,4,2,5,3,Ikigai
39,0,1,0,0,2,0,0,2,1,2,1,Ikigai
40,0,3,0,0,1,0,0,1,0,3,3,Ikigai
41,1,2,0,1,3,0,1,3,0,9,9,Ikigai
42,0,1,0,0,2,0,1,3,0,4,4,Ikigai
43,1,5,0,1,4,2,2,2,2,6,4,Ikigai
44,2,2,1,3,7,1,0,4,2,16,14,Ikigai
45,0,3,0,0,3,0,1,3,1,6,5,Ikigai
46,2,2,1,2,1,1,0,2,3,5,2,Ikigai
47,0,0,1,0,2,0,0,3,1,3,2,Ikigai
48,0,0,0,0,0,0,0,0,1,2,1,Ikigai
49,0,1,0,0,4,0,0,3,0,6,6,Ikigai
50,0,2,0,0,1,0,1,1,0,1,1,Ikigai
51,1,3,0,0,2,0,0,3,1,5,4,Ikigai
52,0,0,0,0,1,0,0,3,1,7,6,Ikigai
53,0,0,0,1,2,0,0,2,0,3,3,Ikigai
54,0,5,0,1,3,1,0,2,1,4,3,Ikigai
55,1,5,2,0,1,2,2,5,2,7,5,Ikigai
56,0,2,0,0,2,0,1,3,0,5,5,Ikigai
57,0,2,0,0,3,0,1,3,0,6,6,Ikigai
58,0,0,0,0,0,0,0,0,0,1,1,Ikigai
59,0,2,0,0,0,0,0,2,0,4,4,Ikigai
60,0,4,0,0,2,1,0,4,1,5,4,Ikigai
61,0,1,0,0,2,0,1,3,0,2,2,Ikigai
62,2,2,1,2,2,2,1,1,2,5,3,Ikigai
63,0,4,0,0,1,0,1,2,0,4,4,Ikigai
64,0,1,0,0,1,0,0,3,0,5,5,Ikigai
65,0,2,0,0,2,0,1,5,1,5,4,Ikigai
66,0,1,1,0,2,0,0,3,2,5,3,Ikigai
67,2,2,0,1,0,1,0,0,2,2,0,Ikigai
68,0,2,0,0,2,0,0,3,0,5,5,Ikigai
69,1,4,1,1,2,1,1,2,1,6,5,Ikigai
70,0,2,0,0,3,0,1,3,0,6,6,Ikigai
71,1,3,0,1,3,2,1,2,2,4,2,Ikigai
72,1,0,0,1,2,1,2,4,2,5,3,Ikigai
73,1,0,1,0,1,0,0,1,1,3,2,Ikigai
74,0,2,0,0,3,0,1,5,0,8,8,Ikigai
75,0,1,0,0,1,0,1,3,0,4,4,Ikigai
76,0,2,0,1,2,2,1,3,2,4,2,Ikigai
77,1,2,1,1,1,2,0,2,3,3,0,Ikigai
78,0,1,0,1,2,0,1,1,0,3,3,Ikigai
79,0,0,0,0,1,0,0,2,0,2,2,Ikigai
80,0,2,0,1,2,1,1,2,2,2,0,Ikigai
81,0,4,1,0,4,1,2,3,1,4,3,Ikigai
