"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",1,7,1,3,9,3,3,11,6,24,18
"2",0,0,1,0,0,0,0,0,1,0,-1
"3",3,14,1,2,9,3,1,13,6,22,16
"4",2,10,2,1,9,4,3,12,4,14,10
"5",0,0,0,0,1,0,0,2,0,2,2
"6",0,1,0,0,2,0,1,2,2,2,0
"7",0,0,0,0,0,0,0,1,0,1,1
"8",0,2,0,0,3,0,0,5,0,3,3
"9",1,0,0,0,1,1,1,3,2,6,4
"10",1,3,1,0,2,2,0,4,2,11,9
"11",0,2,0,0,3,0,2,4,0,4,4
"12",1,14,1,4,15,5,2,13,4,27,23
"13",1,4,0,2,3,2,2,4,2,6,4
"14",0,3,1,1,3,0,1,2,2,5,3
"15",1,2,1,0,1,0,1,1,2,3,1
"16",1,3,1,2,3,2,2,4,6,6,0
"17",1,3,0,0,3,0,1,4,2,5,3
"18",2,10,2,1,7,3,2,13,7,18,11
"19",1,5,0,1,7,0,1,6,1,20,19
"20",1,1,0,1,1,2,0,0,3,2,-1
"21",3,14,1,3,14,8,8,15,8,26,18
"22",1,2,2,1,4,2,2,2,2,8,6
"23",0,6,0,2,3,0,2,2,2,6,4
"24",0,0,0,0,0,0,0,0,0,2,2
"25",0,0,0,0,0,0,0,0,0,1,1
"26",0,1,0,0,1,0,1,2,0,2,2
"27",0,2,0,0,6,0,2,5,1,10,9
"28",1,2,0,1,3,1,0,2,3,5,2
"29",0,7,1,0,5,0,2,5,3,9,6
"30",0,4,0,0,5,0,1,5,0,7,7
"31",0,0,0,0,0,0,0,0,0,1,1
"32",0,0,1,0,1,1,0,2,2,2,0
"33",0,1,0,0,1,0,0,2,0,4,4
"34",1,2,1,2,2,1,3,3,1,3,2
"35",1,3,0,0,3,0,1,3,3,5,2
"36",0,1,0,0,1,0,0,1,0,4,4
"37",0,6,0,1,8,1,3,7,1,15,14
"38",2,4,2,0,3,2,1,4,2,5,3
"39",0,1,0,0,2,0,0,2,1,2,1
"40",0,3,0,0,1,0,0,1,0,3,3
"41",1,2,0,1,3,0,1,3,0,9,9
"42",0,1,0,0,2,0,1,3,0,4,4
"43",1,5,0,1,4,2,2,2,2,6,4
"44",2,2,1,3,7,1,0,4,2,16,14
"45",0,3,0,0,3,0,1,3,1,6,5
"46",2,2,1,2,1,1,0,2,3,5,2
"47",0,0,1,0,2,0,0,3,1,3,2
"48",0,0,0,0,0,0,0,0,1,2,1
"49",0,1,0,0,4,0,0,3,0,6,6
"50",0,2,0,0,1,0,1,1,0,1,1
"51",1,3,0,0,2,0,0,3,1,5,4
"52",0,0,0,0,1,0,0,3,1,7,6
"53",0,0,0,1,2,0,0,2,0,3,3
"54",0,5,0,1,3,1,0,2,1,4,3
"55",1,5,2,0,1,2,2,5,2,7,5
"56",0,2,0,0,2,0,1,3,0,5,5
"57",0,2,0,0,3,0,1,3,0,6,6
"58",0,0,0,0,0,0,0,0,0,1,1
"59",0,2,0,0,0,0,0,2,0,4,4
"60",0,4,0,0,2,1,0,4,1,5,4
"61",0,1,0,0,2,0,1,3,0,2,2
"62",2,2,1,2,2,2,1,1,2,5,3
"63",0,4,0,0,1,0,1,2,0,4,4
"64",0,1,0,0,1,0,0,3,0,5,5
"65",0,2,0,0,2,0,1,5,1,5,4
"66",0,1,1,0,2,0,0,3,2,5,3
"67",2,2,0,1,0,1,0,0,2,2,0
"68",0,2,0,0,2,0,0,3,0,5,5
"69",1,4,1,1,2,1,1,2,1,6,5
"70",0,2,0,0,3,0,1,3,0,6,6
"71",1,3,0,1,3,2,1,2,2,4,2
"72",1,0,0,1,2,1,2,4,2,5,3
"73",1,0,1,0,1,0,0,1,1,3,2
"74",0,2,0,0,3,0,1,5,0,8,8
"75",0,1,0,0,1,0,1,3,0,4,4
"76",0,2,0,1,2,2,1,3,2,4,2
"77",1,2,1,1,1,2,0,2,3,3,0
"78",0,1,0,1,2,0,1,1,0,3,3
"79",0,0,0,0,1,0,0,2,0,2,2
"80",0,2,0,1,2,1,1,2,2,2,0
"81",0,4,1,0,4,1,2,3,1,4,3
"82",1,4,1,2,5,0,4,6,1,8,7
"83",0,0,0,0,0,0,0,0,1,2,1
"84",0,0,0,0,0,0,0,1,0,1,1
"85",1,1,1,1,1,1,0,1,1,2,1
"86",1,2,1,0,4,0,1,5,1,8,7
"87",0,0,0,0,0,0,0,1,0,1,1
"88",0,0,0,0,1,1,1,2,1,5,4
"89",0,2,0,0,3,0,1,3,0,7,7
"90",0,0,0,0,0,0,0,0,1,1,0
"91",0,1,0,0,1,0,0,0,0,2,2
"92",0,1,0,1,1,1,1,2,1,1,0
"93",0,0,0,0,1,0,0,1,0,2,2
"94",0,2,0,0,2,0,0,3,0,2,2
"95",0,2,0,0,2,0,1,2,0,8,8
"96",0,2,0,0,2,0,1,2,0,3,3
"97",5,2,4,5,2,3,1,1,10,4,-6
"98",0,1,0,0,1,0,0,3,0,6,6
"99",0,1,0,0,1,1,1,1,0,2,2
