,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
1,1,3,0,1,4,0,1,3,0,4,4,Subconcious
2,3,1,2,3,3,3,0,2,3,8,5,Subconcious
3,0,1,0,0,1,0,1,1,0,3,3,Subconcious
4,1,2,1,0,2,0,1,4,1,6,5,Subconcious
5,0,0,0,1,1,0,0,1,0,3,3,Subconcious
6,6,10,3,6,10,3,2,15,5,30,25,Subconcious
7,1,3,0,1,3,0,1,7,4,9,5,Subconcious
8,1,0,0,1,0,1,0,1,1,2,1,Subconcious
9,1,8,2,3,5,0,2,5,3,7,4,Subconcious
10,1,0,1,1,0,1,0,1,1,1,0,Subconcious
11,0,0,0,0,0,0,0,3,1,2,1,Subconcious
12,0,1,0,1,0,1,0,0,1,3,2,Subconcious
13,0,5,0,2,4,1,1,4,2,9,7,Subconcious
14,0,2,0,0,3,1,2,6,1,7,6,Subconcious
15,0,1,1,0,0,0,0,0,1,0,-1,Subconcious
16,0,4,1,1,4,0,2,6,2,6,4,Subconcious
17,0,2,0,1,3,0,1,4,0,3,3,Subconcious
18,3,4,1,3,3,5,2,2,7,3,-4,Subconcious
19,1,2,1,1,2,1,2,3,1,4,3,Subconcious
20,0,0,0,0,1,0,0,3,0,2,2,Subconcious
21,0,7,0,3,8,0,2,10,0,16,16,Subconcious
22,0,0,0,1,0,0,0,0,0,1,1,Subconcious
23,3,1,3,2,3,2,0,5,4,6,2,Subconcious
24,1,1,0,1,1,1,0,4,3,8,5,Subconcious
25,2,4,1,3,3,1,2,6,4,12,8,Subconcious
26,0,2,0,0,1,0,1,2,0,2,2,Subconcious
27,1,3,0,2,2,1,2,5,2,7,5,Subconcious
28,1,3,0,1,1,1,0,3,5,6,1,Subconcious
29,1,4,1,1,5,1,2,6,1,6,5,Subconcious
30,0,2,0,0,2,0,1,4,2,6,4,Subconcious
31,0,2,0,0,1,0,0,2,1,3,2,Subconcious
32,1,10,0,2,6,1,2,10,4,21,17,Subconcious
33,0,4,0,0,6,0,1,9,1,15,14,Subconcious
34,2,2,0,0,5,0,2,3,1,7,6,Subconcious
35,0,0,0,1,0,0,0,0,0,1,1,Subconcious
36,0,0,0,0,2,1,0,3,2,4,2,Subconcious
37,0,3,0,0,1,0,1,2,0,4,4,Subconcious
38,0,1,0,0,2,0,0,4,0,7,7,Subconcious
39,2,4,0,1,2,0,2,2,1,2,1,Subconcious
40,3,4,2,3,0,4,1,3,5,6,1,Subconcious
41,0,2,0,1,1,1,1,6,2,4,2,Subconcious
42,4,12,2,9,12,5,4,18,9,26,17,Subconcious
43,0,1,0,1,1,0,1,1,1,1,0,Subconcious
44,1,4,1,1,4,3,2,5,3,7,4,Subconcious
