,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
1,0,2,0,0,1,0,1,5,0,2,2,The Secret
2,2,3,0,1,4,0,1,4,2,5,3,The Secret
3,0,0,0,1,1,0,0,0,2,1,-1,The Secret
4,0,3,0,0,1,0,1,1,0,1,1,The Secret
5,2,3,1,0,3,2,2,4,3,7,4,The Secret
6,2,5,2,3,2,3,2,2,4,4,0,The Secret
7,0,3,0,0,1,0,1,3,0,4,4,The Secret
8,0,1,0,0,1,0,0,2,0,1,1,The Secret
9,1,1,2,1,3,3,1,3,6,5,-1,The Secret
10,0,1,1,0,1,1,0,1,0,4,4,The Secret
11,0,0,0,0,0,0,0,1,1,2,1,The Secret
12,0,1,0,1,1,0,1,1,0,1,1,The Secret
13,0,0,1,0,2,0,0,1,1,3,2,The Secret
14,0,0,0,0,0,0,0,0,0,1,1,The Secret
15,0,0,0,0,2,0,0,1,0,3,3,The Secret
16,1,1,0,0,0,0,0,2,1,3,2,The Secret
17,1,1,1,1,1,1,1,1,2,1,-1,The Secret
18,0,1,0,0,2,0,1,3,0,3,3,The Secret
19,2,3,3,1,3,1,3,4,3,7,4,The Secret
20,0,1,0,1,1,0,0,1,0,4,4,The Secret
21,1,3,0,2,4,1,2,4,2,4,2,The Secret
22,0,0,0,0,1,0,0,3,1,3,2,The Secret
23,0,2,1,1,3,0,0,5,1,6,5,The Secret
24,0,1,2,0,2,1,1,2,1,2,1,The Secret
25,0,2,0,0,1,1,0,3,1,4,3,The Secret
26,0,0,0,0,0,0,0,2,1,2,1,The Secret
27,1,1,1,0,2,2,0,2,3,2,-1,The Secret
28,2,2,1,4,2,3,0,2,4,5,1,The Secret
29,0,4,0,0,2,1,1,3,1,3,2,The Secret
30,3,6,2,2,10,1,3,11,3,18,15,The Secret
31,0,1,0,0,0,0,0,0,0,0,0,The Secret
32,0,2,0,0,2,0,1,2,0,2,2,The Secret
33,0,2,0,0,0,0,0,0,0,3,3,The Secret
34,0,0,0,0,0,1,0,2,1,2,1,The Secret
35,0,1,0,0,2,0,0,4,0,4,4,The Secret
36,0,0,0,0,0,0,0,0,0,1,1,The Secret
37,0,2,0,0,1,0,0,0,0,2,2,The Secret
38,0,1,0,1,1,0,0,2,0,3,3,The Secret
39,0,3,0,0,1,0,2,3,1,4,3,The Secret
40,1,1,0,1,0,1,0,0,1,0,-1,The Secret
41,0,1,0,0,0,0,0,0,0,0,0,The Secret
42,0,2,0,0,1,0,1,3,1,6,5,The Secret
43,0,3,1,1,3,0,3,5,1,5,4,The Secret
44,0,0,0,0,0,0,0,2,0,2,2,The Secret
45,0,3,0,0,6,1,0,6,0,8,8,The Secret
46,0,1,0,0,0,0,1,0,0,1,1,The Secret
47,0,2,0,0,4,0,0,2,1,5,4,The Secret
48,0,0,0,0,0,0,0,1,0,3,3,The Secret
49,0,0,0,0,1,1,0,2,1,4,3,The Secret
50,0,4,0,0,2,0,0,1,0,3,3,The Secret
51,2,1,2,2,1,1,1,1,3,1,-2,The Secret
52,0,2,1,1,2,2,2,2,3,3,0,The Secret
53,0,0,0,1,0,1,0,0,1,0,-1,The Secret
54,1,1,2,1,0,1,1,1,2,2,0,The Secret
55,0,1,0,1,2,0,0,4,0,6,6,The Secret
56,0,1,0,1,0,1,0,0,1,1,0,The Secret
57,0,2,0,0,0,0,0,0,0,1,1,The Secret
58,0,2,0,1,4,0,2,3,0,7,7,The Secret
59,1,1,1,1,0,2,0,0,2,2,0,The Secret
60,0,1,1,0,2,0,0,2,1,2,1,The Secret
61,0,3,0,1,5,0,1,4,0,8,8,The Secret
62,0,1,0,0,1,0,1,2,0,1,1,The Secret
63,0,1,0,0,1,0,1,2,0,1,1,The Secret
64,0,2,0,0,3,0,1,2,0,5,5,The Secret
65,0,1,0,1,1,0,1,1,2,2,0,The Secret
66,0,0,0,0,2,0,0,1,0,2,2,The Secret
67,0,1,0,1,0,0,0,4,0,5,5,The Secret
68,0,4,0,2,3,0,1,4,0,6,6,The Secret
69,0,0,0,1,0,1,0,1,1,0,-1,The Secret
70,0,3,0,0,1,0,1,5,0,7,7,The Secret
71,0,0,0,1,0,1,0,4,1,4,3,The Secret
72,0,0,0,0,0,0,0,2,0,2,2,The Secret
73,0,2,0,1,1,0,1,2,0,3,3,The Secret
74,0,3,0,0,1,0,0,2,0,1,1,The Secret
75,0,2,0,0,4,0,4,7,0,7,7,The Secret
76,0,3,0,0,2,0,1,1,1,5,4,The Secret
77,0,2,0,0,1,0,1,1,0,1,1,The Secret
78,0,2,0,0,1,0,1,2,0,2,2,The Secret
79,0,3,0,0,3,0,1,4,0,3,3,The Secret
80,1,0,0,1,0,0,0,1,2,1,-1,The Secret
81,0,2,0,1,2,0,0,3,0,4,4,The Secret
82,0,1,0,0,1,0,0,5,0,6,6,The Secret
83,1,2,0,0,1,0,1,2,1,2,1,The Secret
84,0,1,0,0,0,0,0,0,0,0,0,The Secret
85,0,2,0,0,2,2,0,2,4,2,-2,The Secret
86,0,1,0,1,0,0,0,0,1,1,0,The Secret
87,0,3,0,0,2,1,1,2,0,4,4,The Secret
88,0,1,0,0,3,0,0,3,0,4,4,The Secret
89,0,0,0,1,0,0,0,1,0,2,2,The Secret
90,0,3,0,1,1,0,0,0,0,1,1,The Secret
91,0,3,0,1,3,0,1,5,0,5,5,The Secret
92,0,1,0,0,0,0,0,0,0,1,1,The Secret
93,0,2,0,2,1,0,0,2,1,3,2,The Secret
94,0,1,0,1,2,0,1,4,1,2,1,The Secret
95,0,0,0,1,0,0,0,0,0,1,1,The Secret
96,0,2,0,0,4,0,1,3,0,5,5,The Secret
97,0,3,0,0,1,0,1,3,2,1,-1,The Secret
98,0,3,0,0,2,0,2,5,1,5,4,The Secret
99,1,1,1,0,1,1,1,1,2,3,1,The Secret
100,0,0,0,1,0,0,0,0,0,0,0,The Secret
101,0,1,1,1,1,2,2,0,3,2,-1,The Secret
102,0,1,0,0,1,1,1,1,2,2,0,The Secret
103,1,0,1,0,1,1,0,1,1,1,0,The Secret
104,0,0,0,1,3,0,1,1,1,5,4,The Secret
105,0,0,0,0,1,0,0,0,0,4,4,The Secret
106,0,2,0,0,0,0,0,0,0,0,0,The Secret
107,0,2,0,1,1,1,2,1,1,2,1,The Secret
108,0,1,0,1,2,0,1,1,0,3,3,The Secret
109,0,2,0,1,3,0,1,2,0,3,3,The Secret
110,0,1,0,0,1,0,0,3,0,3,3,The Secret
111,0,1,0,0,1,0,1,1,0,4,4,The Secret
112,1,1,1,0,1,0,1,1,2,1,-1,The Secret
113,0,0,0,0,0,0,0,1,0,1,1,The Secret
114,0,0,1,0,2,1,0,2,1,3,2,The Secret
115,0,0,0,0,1,0,0,1,0,1,1,The Secret
116,2,1,2,3,1,2,1,2,4,1,-3,The Secret
117,1,2,0,0,1,0,1,1,0,1,1,The Secret
118,0,1,0,0,1,0,1,0,1,2,1,The Secret
119,1,0,1,1,0,1,0,1,1,0,-1,The Secret
120,0,1,0,0,2,0,0,3,0,3,3,The Secret
121,0,1,1,0,1,0,0,2,3,1,-2,The Secret
122,0,0,0,0,0,0,0,0,0,1,1,The Secret
123,0,4,0,0,4,0,2,2,0,4,4,The Secret
124,0,0,0,0,1,0,0,2,0,1,1,The Secret
125,0,3,0,0,3,0,1,2,0,3,3,The Secret
126,0,0,0,0,2,1,0,4,1,5,4,The Secret
127,0,1,1,0,1,0,1,1,2,2,0,The Secret
128,0,1,0,0,0,0,0,0,0,0,0,The Secret
129,0,0,0,0,0,0,0,1,0,2,2,The Secret
130,0,0,0,0,0,0,0,0,0,0,0,The Secret
131,0,1,0,0,1,0,0,0,0,3,3,The Secret
132,2,2,1,2,4,2,0,4,3,5,2,The Secret
133,0,0,0,0,1,0,0,6,0,6,6,The Secret
134,0,0,0,0,3,0,0,0,0,4,4,The Secret
135,0,2,0,0,0,0,0,0,1,0,-1,The Secret
136,1,2,0,2,0,1,0,1,1,0,-1,The Secret
137,0,2,0,0,2,0,2,2,0,2,2,The Secret
138,0,0,0,0,1,0,0,1,0,2,2,The Secret
139,0,0,1,1,0,2,0,0,3,1,-2,The Secret
140,0,1,0,0,0,0,0,0,0,3,3,The Secret
141,0,0,0,0,0,0,0,0,0,1,1,The Secret
142,0,1,0,1,0,0,0,0,0,1,1,The Secret
143,0,0,0,0,0,0,0,0,0,1,1,The Secret
144,1,2,1,1,0,2,0,1,2,0,-2,The Secret
145,0,0,0,0,1,0,1,4,0,4,4,The Secret
146,0,0,0,0,0,0,0,1,0,0,0,The Secret
147,0,0,0,0,0,1,1,0,2,3,1,The Secret
148,0,0,0,0,0,0,0,1,0,1,1,The Secret
149,0,2,0,0,1,0,1,2,0,5,5,The Secret
150,0,1,0,0,0,0,0,5,0,6,6,The Secret
151,0,2,0,0,2,0,2,3,0,4,4,The Secret
152,1,2,1,1,2,1,2,3,1,4,3,The Secret
153,0,1,0,0,1,0,0,3,0,4,4,The Secret
154,1,2,0,0,0,0,0,0,1,1,0,The Secret
155,0,2,0,0,1,0,1,1,0,2,2,The Secret
156,2,0,2,2,0,3,0,1,3,1,-2,The Secret
157,0,1,0,0,1,0,0,1,0,2,2,The Secret
158,0,0,0,0,0,0,0,0,0,0,0,The Secret
159,1,1,1,1,3,1,1,2,1,4,3,The Secret
160,0,0,0,0,1,0,0,2,0,2,2,The Secret
161,0,0,0,0,1,0,1,2,0,2,2,The Secret
162,0,0,0,0,0,0,0,2,0,4,4,The Secret
163,0,2,0,0,2,1,1,3,1,2,1,The Secret
164,0,0,0,0,0,0,0,2,0,2,2,The Secret
165,0,0,0,0,1,0,1,3,0,2,2,The Secret
166,0,0,0,0,0,0,0,0,0,0,0,The Secret
167,0,1,0,0,1,0,1,1,1,1,0,The Secret
168,0,0,0,0,0,0,1,1,2,1,-1,The Secret
169,0,1,0,0,1,0,0,1,0,1,1,The Secret
170,0,0,0,0,1,0,1,2,0,1,1,The Secret
171,0,2,0,0,1,0,0,1,0,3,3,The Secret
172,0,1,0,0,0,0,0,0,0,0,0,The Secret
173,0,0,0,0,0,0,0,0,0,1,1,The Secret
174,0,0,0,0,0,0,0,0,0,0,0,The Secret
175,0,0,0,0,0,0,0,1,0,1,1,The Secret
176,0,0,0,0,0,0,0,0,0,1,1,The Secret
177,0,0,0,0,2,0,0,3,0,2,2,The Secret
178,1,0,0,1,0,1,0,1,1,1,0,The Secret
179,1,1,0,1,2,1,0,2,3,4,1,The Secret
180,0,1,0,0,0,0,0,2,0,2,2,The Secret
181,0,1,0,0,1,0,1,1,0,1,1,The Secret
182,0,0,0,1,0,1,0,1,1,0,-1,The Secret
183,0,1,0,0,1,0,1,1,0,1,1,The Secret
184,0,0,0,0,1,0,0,1,0,4,4,The Secret
185,0,2,0,0,1,0,1,1,0,2,2,The Secret
186,0,0,0,0,0,0,0,1,0,0,0,The Secret
187,0,1,0,0,3,0,1,2,0,3,3,The Secret
188,0,0,0,0,0,0,0,4,0,3,3,The Secret
189,0,1,0,0,1,0,1,1,0,1,1,The Secret
190,0,1,0,0,1,0,1,2,1,1,0,The Secret
191,0,1,0,0,1,0,1,1,0,2,2,The Secret
192,2,2,2,1,2,1,1,2,2,3,1,The Secret
193,0,1,0,0,1,0,0,0,0,2,2,The Secret
194,0,0,0,0,0,0,0,1,0,2,2,The Secret
195,0,3,2,0,4,0,1,2,2,5,3,The Secret
196,0,0,0,0,0,0,0,1,0,1,1,The Secret
197,0,2,0,0,2,0,1,1,1,3,2,The Secret
198,0,1,0,0,0,0,0,1,0,1,1,The Secret
199,0,0,0,0,0,0,0,1,0,0,0,The Secret
200,0,0,0,0,0,0,0,1,0,1,1,The Secret
201,0,0,0,1,0,0,0,1,0,3,3,The Secret
202,0,0,0,0,0,0,0,0,0,0,0,The Secret
203,0,0,0,2,1,1,0,3,1,2,1,The Secret
204,0,2,0,0,0,0,0,1,0,0,0,The Secret
205,0,2,0,1,1,0,1,1,1,1,0,The Secret
206,0,0,0,0,0,0,0,0,0,1,1,The Secret
207,0,2,0,0,1,0,1,1,0,2,2,The Secret
208,0,0,0,0,0,0,0,0,0,0,0,The Secret
209,0,1,0,0,1,0,1,3,0,2,2,The Secret
210,0,0,0,0,0,1,0,1,2,1,-1,The Secret
211,0,0,0,0,1,0,0,1,0,1,1,The Secret
212,0,1,0,0,2,0,1,2,1,2,1,The Secret
213,0,0,0,1,1,0,0,0,0,2,2,The Secret
214,0,1,0,0,2,0,1,5,0,4,4,The Secret
215,0,2,0,0,2,0,0,1,0,3,3,The Secret
216,0,0,0,1,1,0,0,0,0,1,1,The Secret
217,1,2,1,1,1,1,1,2,1,3,2,The Secret
218,1,1,1,2,1,0,0,1,0,1,1,The Secret
219,1,2,1,0,2,1,1,3,1,3,2,The Secret
220,0,3,0,0,3,0,1,2,1,3,2,The Secret
221,0,2,0,0,2,0,1,2,0,2,2,The Secret
222,0,1,0,1,1,0,0,0,0,1,1,The Secret
223,0,0,0,0,0,0,0,1,0,1,1,The Secret
224,0,0,0,1,0,0,0,0,0,0,0,The Secret
225,0,0,0,0,0,0,0,0,0,0,0,The Secret
226,0,0,0,0,1,0,0,1,0,2,2,The Secret
227,0,0,0,0,0,0,0,0,0,0,0,The Secret
228,0,0,0,0,0,0,0,0,0,0,0,The Secret
229,0,1,0,0,0,0,0,0,0,1,1,The Secret
230,0,0,0,0,0,0,0,0,0,0,0,The Secret
231,0,0,0,0,0,0,0,0,0,0,0,The Secret
232,0,1,0,0,2,0,1,3,0,4,4,The Secret
233,0,0,0,0,0,0,0,0,0,0,0,The Secret
234,1,0,1,0,0,1,0,0,2,0,-2,The Secret
235,0,1,0,0,0,0,0,1,0,1,1,The Secret
236,2,3,0,0,4,0,3,3,1,4,3,The Secret
237,0,6,0,0,5,0,3,4,0,6,6,The Secret
238,0,0,0,0,0,0,0,0,0,1,1,The Secret
239,0,0,0,0,0,0,0,4,0,3,3,The Secret
240,0,2,0,0,0,0,0,0,0,2,2,The Secret
241,0,1,0,0,1,0,1,2,0,2,2,The Secret
242,0,1,0,1,1,0,1,1,0,2,2,The Secret
243,0,0,0,0,0,0,0,0,0,0,0,The Secret
244,0,0,0,0,0,0,0,0,0,0,0,The Secret
245,0,1,0,0,1,0,0,0,0,2,2,The Secret
246,0,0,0,1,0,0,0,0,0,0,0,The Secret
247,0,0,0,0,0,0,0,0,0,0,0,The Secret
248,0,0,0,0,0,0,0,0,0,0,0,The Secret
249,0,0,0,0,0,0,0,0,0,0,0,The Secret
250,1,2,0,0,2,0,1,3,1,4,3,The Secret
251,0,2,0,0,2,0,1,1,1,4,3,The Secret
252,0,1,0,0,1,0,0,0,0,2,2,The Secret
253,0,0,0,0,0,0,0,0,0,0,0,The Secret
254,0,0,0,0,0,0,0,1,0,3,3,The Secret
255,0,0,0,0,0,0,0,0,0,1,1,The Secret
