,score,Book
1,-1,Death
2,6,Death
3,8,Death
4,6,Death
5,5,Death
6,-2,Death
7,3,Death
8,17,Death
9,3,Death
10,2,Death
11,0,Death
12,9,Death
13,4,Death
14,1,Death
15,7,Death
16,9,Death
17,-1,Death
18,1,Death
19,4,Death
20,3,Death
21,1,Death
22,2,Death
23,4,Death
24,7,Death
25,6,Death
26,4,Death
27,10,Death
28,2,Death
29,-2,Death
30,2,Death
31,6,Death
32,2,Death
33,2,Death
34,0,Death
35,2,Death
36,2,Death
37,2,Death
38,3,Death
39,2,Death
40,3,Death
41,0,Death
42,2,Death
43,0,Death
44,4,Death
45,-1,Death
46,1,Death
47,5,Death
48,0,Death
49,1,Death
50,1,Death
51,2,Death
52,1,Death
53,1,Death
54,-3,Death
55,0,Death
56,4,Death
57,5,Death
58,3,Death
59,1,Death
60,4,Death
61,-3,Death
62,-1,Death
63,1,Death
64,-1,Death
65,0,Death
66,1,Death
67,0,Death
68,0,Death
69,1,Death
70,3,Death
71,1,Death
72,0,Death
73,4,Death
74,2,Death
75,4,Death
76,5,Death
77,1,Death
78,2,Death
79,2,Death
80,-1,Death
81,2,Death
82,-1,Death
83,4,Death
84,0,Death
85,1,Death
86,-1,Death
87,4,Death
88,0,Death
89,-1,Death
90,2,Death
91,2,Death
92,7,Death
93,1,Death
94,0,Death
95,6,Death
96,1,Death
97,-1,Death
98,-1,Death
99,2,Death
100,1,Death
101,1,Death
102,2,Death
103,1,Death
104,0,Death
105,3,Death
106,-1,Death
107,-1,Death
108,3,Death
109,2,Death
110,0,Death
111,1,Death
112,-1,Death
113,2,Death
114,1,Death
115,2,Death
116,0,Death
117,-1,Death
118,3,Death
119,4,Death
120,2,Death
121,0,Death
122,-1,Death
123,0,Death
124,0,Death
125,1,Death
126,5,Death
127,3,Death
128,0,Death
129,-1,Death
130,4,Death
131,1,Death
132,3,Death
133,0,Death
134,4,Death
135,0,Death
136,5,Death
137,2,Death
138,1,Death
139,1,Death
140,3,Death
141,0,Death
142,2,Death
143,1,Death
144,-2,Death
145,-1,Death
146,-2,Death
147,3,Death
148,1,Death
149,-1,Death
150,0,Death
151,2,Death
152,-1,Death
153,1,Death
154,0,Death
155,-1,Death
156,1,Death
157,0,Death
158,1,Death
159,2,Death
160,0,Death
161,1,Death
162,1,Death
163,5,Death
164,3,Death
165,0,Death
166,0,Death
167,3,Death
168,1,Death
169,3,Death
170,0,Death
171,0,Death
172,-1,Death
173,3,Death
174,-1,Death
175,-2,Death
176,0,Death
177,-2,Death
178,6,Death
179,2,Death
180,1,Death
181,4,Death
182,-1,Death
183,2,Death
184,0,Death
185,2,Death
186,4,Death
187,1,Death
188,0,Death
189,0,Death
190,1,Death
191,2,Death
192,1,Death
193,0,Death
194,0,Death
195,-1,Death
196,-1,Death
197,0,Death
198,0,Death
199,1,Death
200,2,Death
201,-1,Death
202,0,Death
203,-1,Death
204,1,Death
205,0,Death
206,2,Death
207,2,Death
208,-1,Death
209,1,Death
210,0,Death
211,1,Death
212,0,Death
213,-1,Death
214,0,Death
215,1,Death
216,-1,Death
217,1,Death
218,1,Death
219,0,Death
220,2,Death
221,1,Death
222,1,Death
223,1,Death
224,2,Death
225,2,Death
226,0,Death
227,2,Death
228,1,Death
229,-1,Death
230,0,Death
231,0,Death
232,1,Death
233,-2,Death
234,0,Death
235,2,Death
236,-2,Death
237,1,Death
238,-1,Death
239,0,Death
240,1,Death
241,0,Death
242,1,Death
243,-2,Death
244,1,Death
245,2,Death
246,-3,Death
247,2,Death
248,0,Death
249,1,Death
250,1,Death
251,-1,Death
252,0,Death
253,-1,Death
254,0,Death
255,1,Death
256,-2,Death
257,-1,Death
258,0,Death
259,2,Death
260,0,Death
261,0,Death
262,1,Death
263,-2,Death
264,3,Death
265,2,Death
266,1,Death
267,2,Death
268,0,Death
269,1,Death
270,-1,Death
271,2,Death
272,0,Death
273,1,Death
274,1,Death
275,-1,Death
276,1,Death
277,1,Death
278,2,Death
279,1,Death
280,2,Death
281,0,Death
282,0,Death
283,0,Death
284,3,Death
285,1,Death
286,1,Death
287,0,Death
288,3,Death
289,1,Death
290,0,Death
291,0,Death
292,2,Death
293,1,Death
294,0,Death
295,1,Death
296,0,Death
297,-1,Death
298,-1,Death
299,-1,Death
300,2,Death
301,0,Death
302,-3,Death
303,0,Death
304,-1,Death
305,0,Death
306,0,Death
307,1,Death
308,-1,Death
309,0,Death
310,2,Death
311,0,Death
312,-1,Death
313,-2,Death
314,4,Death
315,1,Death
316,-1,Death
317,-1,Death
318,1,Death
319,3,Death
320,1,Death
321,1,Death
322,-1,Death
323,3,Death
324,0,Death
325,0,Death
326,1,Death
327,0,Death
328,0,Death
329,1,Death
330,0,Death
331,0,Death
332,2,Death
333,2,Death
334,0,Death
335,1,Death
336,1,Death
337,1,Death
338,0,Death
339,1,Death
340,-1,Death
341,0,Death
342,5,Death
343,0,Death
344,0,Death
345,0,Death
346,2,Death
347,-1,Death
348,1,Death
349,1,Death
350,0,Death
351,1,Death
352,1,Death
353,2,Death
354,0,Death
355,0,Death
356,0,Death
357,3,Death
358,3,Death
359,4,Death
360,-1,Death
361,1,Death
362,0,Death
363,0,Death
364,-1,Death
365,2,Death
366,0,Death
367,-1,Death
368,1,Death
369,1,Death
370,4,Death
371,1,Death
372,1,Death
373,2,Death
374,-1,Death
375,0,Death
376,0,Death
377,1,Death
378,0,Death
379,2,Death
380,1,Death
381,0,Death
382,-1,Death
383,1,Death
384,0,Death
385,-1,Death
386,0,Death
387,-1,Death
388,3,Death
389,-1,Death
390,0,Death
391,3,Death
392,3,Death
393,0,Death
394,1,Death
395,-1,Death
396,1,Death
397,-1,Death
398,0,Death
399,2,Death
400,0,Death
401,-1,Death
402,1,Death
403,0,Death
404,0,Death
405,1,Death
406,0,Death
407,1,Death
408,0,Death
409,1,Death
410,2,Death
411,-1,Death
412,0,Death
413,2,Death
414,1,Death
415,0,Death
416,0,Death
417,0,Death
418,0,Death
419,1,Death
420,0,Death
421,-1,Death
422,0,Death
423,3,Death
424,0,Death
425,0,Death
426,-1,Death
427,5,Death
428,0,Death
429,-1,Death
430,3,Death
431,2,Death
432,0,Death
433,1,Death
434,0,Death
435,0,Death
436,1,Death
437,-1,Death
438,1,Death
439,0,Death
440,1,Death
441,0,Death
442,1,Death
443,2,Death
444,-1,Death
445,1,Death
446,0,Death
447,3,Death
448,4,Death
449,0,Death
450,2,Death
451,-1,Death
452,1,Death
453,0,Death
454,-1,Death
455,0,Death
456,-1,Death
457,-1,Death
458,-2,Death
459,-1,Death
460,0,Death
461,0,Death
462,0,Death
463,1,Death
464,0,Death
465,2,Death
466,-1,Death
467,1,Death
468,3,Death
469,0,Death
470,-2,Death
471,1,Death
472,2,Death
473,1,Death
474,1,Death
475,2,Death
476,-1,Death
477,1,Death
478,1,Death
479,-1,Death
480,1,Death
481,0,Death
482,0,Death
483,-1,Death
484,-2,Death
485,3,Death
486,1,Death
487,-2,Death
488,2,Death
489,1,Death
490,-1,Death
491,0,Death
492,0,Death
493,-1,Death
494,0,Death
495,0,Death
496,-1,Death
497,-1,Death
498,1,Death
499,-2,Death
500,0,Death
501,1,Death
502,1,Death
503,-1,Death
504,0,Death
505,4,Death
506,1,Death
507,1,Death
508,0,Death
509,0,Death
510,0,Death
511,0,Death
512,2,Death
513,1,Death
514,-1,Death
515,0,Death
516,0,Death
517,1,Death
518,1,Death
519,-1,Death
520,0,Death
521,1,Death
522,-1,Death
523,-1,Death
524,1,Death
525,-3,Death
526,0,Death
527,3,Death
528,2,Death
529,1,Death
530,2,Death
531,1,Death
532,0,Death
533,-1,Death
534,1,Death
535,1,Death
536,1,Death
537,-1,Death
538,0,Death
539,-2,Death
540,0,Death
541,0,Death
542,1,Death
543,-2,Death
544,0,Death
545,-2,Death
546,1,Death
547,0,Death
548,0,Death
549,0,Death
550,0,Death
551,-1,Death
552,1,Death
553,0,Death
554,0,Death
555,0,Death
556,0,Death
557,3,Death
558,0,Death
