"id","profileName","text","date","title","rating","images","helpful"
"R2CMV7GARGETMK","AmazonCustomer","
  I saw my father die right infront of me in the ambulance and I couldn't do anything and there are many like me who must be unaware of what death is untill they see it themselves or someone very close to them die.You can prepare for an exam or competition, how can you prepare for Death? No one teaches you about Death.This is one topic where one cannot pull religion in between because it happens to all.. doesn't spare anybody..we burn the body & you bury it, what's the difference?Just like Sadhguru says that we were like dead before being born and we will be dead for a long time after we die, in the middle we live for just a small amount of time so we should live it consciously.I have so many questions that no one can answer, not even Google will help me this time..Just like how in the YouTube videos, the beauty with which Sadhguru explains and clarifies every question of ours, I am 150% sure that all my answers regarding Death will be answered..Thank You Sadhguru for everything that you are doing for us.I will post a re-edit/update later on this review after I get the book and I'm done reading with it.. can't wait
","Reviewed in India on 22 February 2020","Thanks Sadhguru..I wish one day I come to Isha",5,"","664"
"R1V9VHYOQZTSA0","vcspartan","
  An influential mystic who talks about life in great detail, a prolific writer, a torchbearer, I bow down to such a great soul. Namaskaram to Sadguru and all the readers.This review is about physical appearances of the book and most importantly how the books is structured, since I am yet to read the book.I pre-ordered the book and received it in just a day after it was released on 21 Feb. Thanks to Amazon for its reliable services. Paper and print quality is average, as it can be expected with Paperback edition of the book.Apart from Sadguru’s message on death this book contains few beautiful poems and spectacular images of Sadguru in different aspects of his life. I am a big fan of Sadguru’s poem commentary on different dimensions of life, nature, universe and so on.Let’s see what this book has to say. Reading is on...
","Reviewed in India on 22 February 2020","Are you afraid of death?",5,"https://images-na.ssl-images-amazon.com/images/I/717TnrJKgmL.jpg
https://images-na.ssl-images-amazon.com/images/I/71o-U+MpW7L.jpg
https://images-na.ssl-images-amazon.com/images/I/71uIwP6IuBL.jpg
https://images-na.ssl-images-amazon.com/images/I/81+yY5ToQyL.jpg
https://images-na.ssl-images-amazon.com/images/I/81WFD1E1fVL.jpg","213"
"RY9M5JU7II52L","Jagruttam Panchal","
  Yogi, mystic and visionary, Sadhguru is a spiritual master with a difference. He has got absolute clarity of thoughts. His perceptions and visionary ideas make him unique as a mystic, guru and mentor. It's a wonderful book that I would love to read.
","Reviewed in India on 21 February 2020","Sadguru: the Modern Guru",5,"","171"
"R2KVVEKF6NQR6","Shridhar Choudhary","
  I am ardent follower of Sadguru. I am always impressed with his rational & logical thoughts. This is the only reason I bought this book. In this book he has written about existence of ghosts. It is vividly explained that ghosts do exist. It is further explained in detail about characteristics of these ghosts. This was not expected from Sadguru. What can't be proved by science and mathematics cannot be held true just because someone or Sadguru believes it. When Sadguru talks about non existence of God it is strange that he believes in ghosts. Come on Sadguru.
","Reviewed in India on 25 February 2020","I don't agree with Ghost funda of Sadguru",2,"","51"
"R2AZ63TYJVJ47F","Nivas Sivaprakasam","
  This is the first ever time I've taken the effort to write a review for an amazon product, and really excited for it. The moment I knew about this book's release, I pre-ordered it and it was to be delivered on Feb24th Monday after 30+ from when I ordered it. Little did I know I would be at 2020's Mahashivratri event, and happened to buy a copy there itself, because I could not wait to read this book.My parents have been associated as Volunteers with Isha for 25+ years now, and I have finished some basic classes and read a few of his books and watched lots and lots of his videos before, but the content he touched in this books is super overwhelming at many places. In a joking sense, this is 100x of a Nolan movie that you might see. Blessed to live in an era where he is. Not yet a complete realized being, but one that knows for sure the current society and its mindset run by the egoic side is not real way of happiness.This book is TRULY for everyone who shall DIE!!
","Reviewed in India on 25 February 2020","I've never written a review in my life",5,"","29"
"RV638R5HYVDI6","swapnil","
  MUST READ, fear of death must be removed and we must learn how gracefully,  peacefully die. Must be everyone's right to die with peace. We define health as state of complete physical mental , social wellbeing and also spiritual.  So it is incomplete if we suffer on our way to death .....
","Reviewed in India on 24 February 2020","MUST READ FOR THOSE WHO ARE GOING TO DIE",5,"https://images-na.ssl-images-amazon.com/images/I/61s130MTLpL.jpg","23"
"R7KD30J375DR","Kushagra Singh","
  The USP of Sadhguru is his ability to take the mystical and make it accessible. He ventures into topics considered obscure, even obscene often and makes them easy to understand. A reader or a consumer of his work will always be grateful for it.That being said, I do feel a bit underwhelmed by the book.Why?Because I expected it to be more than what I’ve already known through his other books or videos. For me, the definitive book by Sadhguru remains ‘Mystic Musings’ followed by ‘Inner Engineering’. As I read the book, it felt as if I already had heard it, read it before.However, to the “uninitiated”, Death book will give you a lot of things to ponder, even shock and surprise you. I felt as if it were a deeply personal account of Sadhguru’s life(lives) and experiences.It may scare you, or it may alleviate your fears over death. It will though have an impact. Do read if you enjoy delving into the mystical, like me.
","Reviewed in India on 1 March 2020","For those who want to delve deeper into the mystical",3,"https://images-na.ssl-images-amazon.com/images/I/71NXEBKBbXL.jpg","18"
"RNE178EP38UVO","Ravi Shekhar","
  You will not die in the end.You are dying every day! This books makes you aware about everything, one needs to know to lead a peaceful, successful and graceful life! Just go for it!I was born in Varanasi - one of oldest city on the planet, which celebrates death as the process and crescendo of life. I have always been interested in photographing pyre in my student life as I was living very close to famous Manikarnika Ghat on the bank of Ganga river. But till this date I have not witnessed death. No one left his her body in my presence. Though I have always been eager to witness that moment. Many years ago, I came across the book - 'Tibetan book of living and dieing by Sogyal Rinpoche . I liked the preface of the book but unable to read further (25 years ago).Then came Osho's book - Main Mrityu sikhaata hoon in Hindi language ( I teach death).Now I am reading Sadhguru's book - DEATH.I must tell you here that like millions of people on the planet- I am also a Isha Yoga practitioner since last 5 years. Completed all his courses.So in this review I have to share the following-* Sex and Death are the two taboos of the human race. and both are the natural.* We have read many books on Sex - now is the time to read one book on death too!* If you are and Isha Yoga practitioner - this book may reveal and explain many things about your daily practices.* If you are not yet a yoga practitioner- this will explain - why it is good to invest some time with your body and mind to have a peaceful death than leaving your body in a hospital. The book is very simple. As simple as Sadhguru's wit-full explanations you might have listened on youtube.The book also talks about - how one can help other people in the process of leaving the body.Essential read indeed!My favorite quote from the book-' When you left your body here and went to heaven. Without your body, what are you going to do with good food and virgins? '
","Reviewed in India on 12 March 2020","Read before you die!",5,"https://images-na.ssl-images-amazon.com/images/I/51G-6ggv6mL.jpg","18"
"R15OBHC3WYU39D","Pk","
  A Wonderful Compilation of Sadhguru's Insight into the Ubiquitous yet most feared Phenomenon called Death!! If read with real involvement , a strong sense Spiritual seeking is a Natural outcome!!
","Reviewed in India on 23 February 2020","A Must Read !!",5,"","19"
"R87Q6KR9GV514","Arko Roy","
  Umm i will say online one thing this books are for those how are that much reseptive to learn what he wants to say because this book is not having any diplomatic thoughts or religion type calamities.....it was written the way it is or the way everything is....its only depends on the perseptions of the people who they understand the words....so thats y i written above if you are that much not reseptive then you will not understand the way it is....that will mainly caused many religion and media conflicts to....and i will only say one thing to the negative feedbackers.... you guys please don't read the book for your any intalectual entertainment and please don't make your own conclusions because you don't know the things even i don't know so please don't spread rumours.Thank you all.😉😉🙂🙂Enjoy the book
","Reviewed in India on 26 February 2020","😉",5,"","12"
"RQRYU4K0LBV2V","pranav","
  I got the book Today .It's so good manEveryone should learn about deathWhen you understand you r mortal .You will do what is needed .You will not get trapped in lust.Live life consciously, I am gonna try being conscious everyday ....Its a great book .....
","Reviewed in India on 23 February 2020","Clarity In life for those who r gonna Die ...",5,"https://images-na.ssl-images-amazon.com/images/I/715O+hCrZFL.jpg
https://images-na.ssl-images-amazon.com/images/I/71v5wS8FV2L.jpg","15"
"R2608SOOE3EJGC","Adv Pritam More","
  Read Before You Buy It!!A] Who should Buy It.....I recommend this book to everyone who is seeking truth of life and death. Who is willing to accept that 'I do not know' everything. All of you who have been listening to Sadhaguru on various social media platforms will find it mesmerising! 😊B] Who should NOT buy it.....I would recommend this to everyone but again I'm his follower, so let us talk about non followers.If you are someone who is interested in spiritual reading, occult practices/black magic, seeking answers for questions like what happens after death? From where have I come ? Is reincarnation possible ? What are ghost? Can someone influence my being through such occult practices? etc. But again let me warn you if you are not willing to dive beyond intellectual dissecting of every little thing and question every thing that you do not understand. It is not a book for you. You might not agree with all the information on ghost, reincarnation etc. For me I have had my own experiences so I have complete faith in Sadhaguru. But you should not buy this book if you are an atheist person. 🙂I hope you found it helpful. If yes press HELPFUL over here....it motivates me to write reviews for readers. Thank you! 🙏🏻
","Reviewed in India on 4 June 2020","For every Spiritual Seeker! Not for an Atheist!",5,"","12"
"R1EN8V3USB79XP","Amazon Customer","
  Order on 21 feb & received on 22 feb.... Not even comleted the first chapter...really amazing....goosebump.,.. it's going to be a constant companion.....will give another review after completion...
","Reviewed in India on 23 February 2020","For those who shall die....",5,"","13"
"R3RMUJODVEUMPR","bragboy","
  Having read a lot of his other books, getting initiated in a couple of Isha programs - inner engineering and Hatha yoga, watching hours and hours of YouTube videos of him, there was still something that lacked. The rawness of what he is. This book clarified it.I also would like to warn that this book may not be easy for everyone, especially the ones driven by science and logic and find contents totally ludicrous. But, for me, I enjoyed each and every word! An absolute masterpiece!
","Reviewed in India on 18 March 2020","Legendary",5,"","1"
"R2S3BKGA0E2M89","Sunil Dhillon","
  I tend to like books in which information is properly organized & they contain specific informative.In my view,In terms of compilation, compiler of the book Swami Nisarga did a fantastic job. However, I feel he could have done better with the organization of the content.The index of the book was well thought out and one could actually read out what to expect from each section.However, in some section the speaker did speak less about the topic and end up advocating for a totally different topic. Eg: Topic: Couples for lifetime.It does give some good insights but I feel it creates more fear than hope as practical tools/ information provided is not enough. Considering the vastness of the topic, the compiler could have chosen to be more detailed instead of covering more topics.I rarely give 5/5 to any book. Consider my rating as that of a hard checker.
","Reviewed in India on 9 March 2020","Good read, could have been better",3,"","1"
"R2KWD66BD7CNBY","NK","
  This is a very comprehensive book about the Yogi's understanding of what death's true nature is.If you're a Indian, chances are high that you're familiar with the topics that are discussed in this book, but most probably not to the degree and depth to which they are explored here.Reading the index should give you a good idea about what the book is about, and it is about everything to do with death, including the human aspects like grieving to the more intangible spritual aspects.While it's a worth while read for everyone, it would be a even more intriguing book for a non-Indian reader.
","Reviewed in India on 25 February 2020","Very comprehensive book about the Indian idea of Death.",5,"https://images-na.ssl-images-amazon.com/images/I/61m4d-cDjOL.jpg
https://images-na.ssl-images-amazon.com/images/I/61o94ZyAW2L.jpg
https://images-na.ssl-images-amazon.com/images/I/71CtQcO5dyL.jpg
https://images-na.ssl-images-amazon.com/images/I/71sMkFyQtBL.jpg
https://images-na.ssl-images-amazon.com/images/I/71vUD4d6FPL.jpg","1"
"RS6RQLUEBU3C6","Prameela Balan","
  I have just started reading this book. Sadguru has explained a lot of concepts that are a bit difficult to understand at once. I am reading it slowly to understand the concepts.I have just finished 80 pages right now.But whatever I have read so far is really mind-blowing. I never knew anything about these concepts.Will write a new review after reading the whole book.But I recommend this book to all.Only one problem.I wish Penguin the publishers had brought out a better print.It's really very bad. Need to struggle to read it.
","Reviewed in India on 7 March 2020","Death",5,"","1"
"R3VFS88YC3841I","Madhu","
  I don't think anyone can verbally justify the feeling once you finish reading the book. The information at times gets overwhelming but still keeps you wanting to learn more. I absolutely didn't expect Sadhguru to give out the details that he did in this book.The book may be titled Death but it sure makes you appreciate the value of life in all ways possible.For those who think this book is nonsense, I don't know what to say. Like Sadhguru says, ignorance is powerful! But it is unfortunate that we trust the modern sciences and technological advances more than our own ancient sciences that managed performing brain surgeries successfully thousands of years ago!It isn't about whether you follow him or you dont.. Just try and be more aware within yourself. You'll realize that what Sadhguru says, you already do know that! It ain't about believing as much as self dwelling.I cannot thank Sadhguru enough for talking about the essential aspects of science and not avoiding being unpopular.
","Reviewed in India on 26 April 2020","It isn't for his followers - It is for all humans!",5,"","1"
"R1X1ZVDPOEOCT8","Amit kotwal","
  Sadhguru has done us a favour by publishing this book. Content of this book may appear orthodox to many but actually this is the most vivid explanation on 'death'. This book does not talk something different, because whatever is shared here is already told to us by our grand parents and parents but somehow they were not successful with their explanation or may be we were too naive to assimilate it. Nuclear families have drifted Indians far from their good old traditions. 'Death an inside story' will assist this generation in consolidating what is lost decades back.
","Reviewed in India on 20 April 2020","The most convincing and vivid explanation of death",5,"","1"
"R3T09EZ9PN515E","Sainath Jogdand","
  Thanks Sadguruji. This book will give us different dimensions of thinking about our life and death. I'm middle of reading this book not controlled to wrote reviews. We as an mortal Soul should have universal knowledge about death and birth to fulfill joyful life.
","Reviewed in India on 23 February 2020","Death is fear but universal truth - Mandatory education for mortal soul",5,"","1"
"RUK2XOLVBTGK7","Raj V","
  Got the book a few days back. It has been a fantastic read so far. Every page makes one think deeply about life and how we are living. For me personally, it has been a very revealing experience reading this book, opening my eyes to the frivolous nature of my life and what I can do to live in more awareness. I highly recommend anyone looking for a life transforming experience to go through this as the starting point
","Reviewed in India on 29 February 2020","Life transforming book for sure",5,"","1"
"R1SX0JEUXEADEK","Srinivas","
  I was curious about everything from childhood..And that curiosity made me to Read many things...Wanted to know what its all about this Life.Inside me tells everytime that there is something beyond normal life.People never understand and explore..From the day we born, we think that we are living but we are moving closer to death every second..People take everything for granted and never try to realize..I have read many things on this  subject from various people...Before that there are many dots without clarity, after reading from various minds, the dots began to connect themeselves...many things becomes clear, got clarity...I listened to many speaches... Watched Almost every video of him but stillWanted to know in detail what Sadhguru opinions in this.Instagram@ Srinivart
","Reviewed in India on 25 February 2020","There is beyond normal life but people never explore",5,"https://images-na.ssl-images-amazon.com/images/I/716N88vBk3L.jpg","1"
