"id","profileName","text","date","title","rating","images","helpful"
"R353MEFFMHYAY8","Short of a Century","
  The book does a decent job of relating the concept of Ikigai to modern day psychology (with Frankl's Logotherapy from Man's Search for Meaning among others) and a few scientific references in a simple manner. It talks about how purpose plays an important role in a man's life and the different ways in which it manifests itself. It also tackles some ways to 'find your flow' and ensure that what you do receives 100% of your attention and that you enjoy whatever you are creating.The book also discusses certain other Japanese concepts like takumi (specialized workers) and moai (connections with community or friend-circle). The brief discussions have the benefit of being to the point and simple but also pose the risk of trivializing them into regular self-help advice. The book also delves into Japanese perspectives on living life and persevering without getting caught up in artificially-created urgency. But again, maybe the authors wished for the readers to research more or meditate more on the content given the concise treatment of the same.The chapters on diet and exercises have more details and thus, may be more useful. Certain foods are dealt with in greater detail as is the concept of 'hara hachi bu' wherein one eats only 80% of what would actually assuage his hunger. The chapter on exercises includes illustrations and steps. While they may suffice for some of the purposes mentioned in the book - the philosophy behind them, progressive increments and other essential details are missing or insufficient.I was interested in the concept of Ikigai and wanted to read more about it. Despite being well-written and presenting modern applications, the book did not fulfill my requirements at all. Some of the condensed content made me think that the extended research, including on-site interviews, done by the authors for writing this book was clearly lost in translation or presentation in certain parts.The hardcover is pretty and soothing with its matte texture. Inner pages are smooth and heavy with a cream tinge. The font size is good. The spine as well as pages hold up well. Overall, the book is quite light and sturdy. Bought it for INR 460 against MRP of INR 499.
","Reviewed in India on 12 October 2018","Simple & Light Reading. May Disappoint - Dependent on Reader's Expectation.",3,"https://images-na.ssl-images-amazon.com/images/I/71+tJMylj6L.jpg
https://images-na.ssl-images-amazon.com/images/I/71Dlgk6JBCL.jpg
https://images-na.ssl-images-amazon.com/images/I/71qrpgwAzOL.jpg","656"
"R57Y9694P00OQ","Seethalakshmikshetty","
  Just read a back of book and its enough dont waste like me😢
","Reviewed in India on 14 October 2019","Ikigai",2,"https://images-na.ssl-images-amazon.com/images/I/711BauE1RYL.jpg
https://images-na.ssl-images-amazon.com/images/I/71A8KNdSWhL.jpg
https://images-na.ssl-images-amazon.com/images/I/71gL3baiXnL.jpg
https://images-na.ssl-images-amazon.com/images/I/81LvjTKFvdL.jpg","425"
"R1Y6LYA3EVVHII","LibroReview","
  I personally believe that having a purpose on in life and then giving it your all is the most important to lead a happy life. This book validates so.Ikigai is a short but not very short book based on a Japanese concept. According to this concept, we find the deeply sown purpose of our lives from within ourselves by defining our passion, mission, vocation and profession. It gives you tips as to how the simplest things in our life, like sometimes, taking a pause, are what will give us a long and happy life.I bought a hardcover because of it’s extremely pretty cover. The cover itself will soothe your mind whenever you look at it. The title does go with the book but personally for me, not as I thought it would.If you are expecting it to help you find your Ikigai, give you step by step solution as to how you can find it and reward it with millions of dollars, you’ll be disappointed. This book is full of facts, real life experience from Japan’s Okinawa and compels you to focus more on you : your health, your choices, your focus and your inner happiness. It will probably be the only book you’ll come across that tells you to take it, relax, but also burn in your passion.The language is as simplistic and beautiful as the cover and it’s content. Not many tough words and very beginner-friendly in the reading world. The structure to is great with a prologue, 9 chapters, an epilogue and a list of more suggestions for you to explore in the end.Coming to the overall feel of the book, it’s very cozy. In it’s own way, it also does help you slightly to find your own Ikigai.I thought it would be a full on hustle kind of book but I felt relaxed after this read. I was ready to take on my tasks stress-free. Though it is not something extremely crazy and different, it definitely is a one-time read for all the hustlers or non-hustlers out there who think they have to punish themselves to get what they want.
","Reviewed in India on 8 April 2019","The best book to read during your break time.",4,"","308"
"R2UBD10GP97TLL","Radhika Saimbi","
  IkigaiThe Japanese Secret to a Long and Happy LifeBy Hector Garcia and Francesc MirallesI will be confessing by saying that i bought this book just because of its attractive cover, such a soothing color combination which itself calmed me.This book is all about finding your passion in life, your “ikigai” which will help you to live a happy, content, active and long life. It talks about art of staying young while growing old, about relaxing, about not running behind materialistic things, how to improve your performance in daily routine and to stay focused.One of the best lesson which I liked was how to be more anti fragile. It talked about  creating more options, by devoting time in your passion, taking small risks for increasing your experience and to get rid of the things which makes us more fragile.Before reading this book I felt that there would be some manoeuvre to follow for finding your ikigai, but there is just overview of many therapies which left me little unsatisfied and disappointed. There were few things like proverbs, quotes and traditions from centritains which I found were not really required. There is no rocket science written in this book but some of the facts are eye opening.P. S . And seriously I wish I could learn sun salutation and other exercise by reading.Overall I will say it’s a easy, simple read for beginners for setting up small goals.Only staying active will make you want to live a hundred years.——-Japanese proverbBook starts with this proverb and this literally summarises the book.
","Reviewed in India on 22 July 2019","Little hyped!!",3,"https://images-na.ssl-images-amazon.com/images/I/71tzySoukOL.jpg","43"
"R3N9XT923O875M","Amazon Customer","
  NOTE- NOT A BOOK REVIEW.Bought during freedom sale 8th-11th 08/19.Got it for 299/-Received a book with cover print issue.
","Reviewed in India on 13 August 2019","Printing/embossing Error! NOT A BOOK REVIEW",4,"https://images-na.ssl-images-amazon.com/images/I/710jPOOl5EL.jpg
https://images-na.ssl-images-amazon.com/images/I/71VOhd-YnqL.jpg
https://images-na.ssl-images-amazon.com/images/I/71iRKKNv3ML.jpg","23"
"R3ELFUZT3764F7","Amazon Customer","
  The book is a good read but the seller definitely is duping readers. The book is neither a hardcover nor an authentic print. It's a cheap copy that can be bought from any roadside.
","Reviewed in India on 20 March 2019","Fake copy and fraudulent seller",1,"","28"
"R3BU73W8LHQHE4","Shivani","
  It has been mentioned that the book will be a Hardcover. But I received some different coloured book cover with the pages of very poor quality.
","Reviewed in India on 4 September 2018","Not Original",1,"","29"
"R15CQVKM8V2SGH","Ajay Chandar","
  This isn't one of those books that ramble on about nebulous platitudes without providing any practicable advice. You'll find in these pages a wealth of tools, physical and mental, that could definitely improve your life in some measure.
","Reviewed in India on 22 January 2018","A short, sweet, and deeply-inspiring read",5,"","33"
"R2QRQC151UHQM8","Drashti Shah","
  Except for a few pieces of wisdom, most of the book feels preachy, very much like a sales pitch and boring too. There's no flow or continuity which makes one feel as if they're reading a college student's thesis report. This book is not life changing nor anything... it's like the transcript of a travel channel's documentary on Japan tourism and culture... I barely learnt anything new or of substance from this book. I have been slightly harsh in my criticism, I realise, I hence must reiterate that there definitely is the occasional pearl of wisdom to be found in ikigai
","Reviewed in India on 1 November 2020","I wonder what the hype is all about",2,"","10"
"R2MB2VWW5WVGI2","Alok Kejriwal","
  Ikigai - Book reviewA pure GEM. Short (1 hour to finish), massively impactful & UPLIFTING.Ikigai is a Japanese concept, which means “the happiness of always being busy"". It explains the extraordinary longevity of the Japanese, especially on the island of Okinawa, wherethere are 24.55 people over the age of 100 for every 100,000 inhabitants!What I LOVED about the book is a reiteration of FACTS that we all know. Best ones:- Never RETIRE. (If you have recently retired parents who are grumpy & throw tantrums, give them this book)- Stop eating JUST when you are about to get full. “Hara hachi bu"" means something like “Fill your belly to 80 percent.”- SLEEEEEP!!! Top models sleep a lot!- How to handle thoughts, emotions, BOREDOM. Vietnamese monk Thich Nhat Hanh, who would say, “Hello, solitude. How are you today? Come, sit with me, and I will care for you.”- A list of different Japanese meditations & practices.- The Pomodoro Technique to FOCUS : Get yourself a kitchen timer & commit to working on a single task as long as it’s running.If you want a long, fulfilling life, get this book.
","Reviewed in India on 3 November 2019","If you want a long, fulfilling life, get this book.",4,"https://images-na.ssl-images-amazon.com/images/I/51GFLJ6tHYL.jpg","10"
