"id","profileName","text","date","title","rating","images","helpful"
"RZPBSSLFOK2LR","roy","
  Let me tell you about what the book says: Your Mind Has two parts, If you direct the conscious one to be positive , the subconscious one will bring happiness in your life.Now write it down in 3000 ways, explaining it. Again , Again, Again,No noAgain, then Again..Oh GOddd....put out some god, bible, Wife, wealth Money....I mean Again....did you hear it?? Againthen Again.Yes. You just wrote this book. Congrats, go to a publisher and sell it through amazon.[Before End] : If this does not makes you rich, let me give you a suggestion from this book. Every night before sleep, just whisper : W-e-a-l-t-h....w..e..a..l..t..h.....You will sure become rich.
","Reviewed in India on 8 February 2019","256 pages of the Same Line again n Again",1,"","1499"
"R1NHVMRU2ID7BQ","Vijay Tomar","
  SPOILERS AHEAD PEOPLE!!Murphy's idea is very simple. He says if you want something, just embed the idea into your non-resistive (Subconscious) mind.To be honest,in the beginning of the book i did not find the whole idea very logical. It seemed like somebody is trying to sell some BS. But then a realization came upon me...He says""By embedding the idea into our sub-conscious we can get anything"". But, how???Now i feel i know how, as we force the idea into our mind we involuntarily start working towards it with our greatest capability using our full potential and thus we have achieved what seemed initially impossible to us.All in all, this book was really helpful to me(although i am nearly living the best years of my life). If it can help a person who is really satisfied with his life, i have no idea how many wonders it will do to those people life who want something really bad and need anything to help them with their goal.
","Reviewed in India on 12 September 2018","A very logical approach suggested by Mr. Murphy",4,"","810"
"R2OQ1SWAE29A80","VIVEK K R","
  Very useful book...good for maintaining a calm mental health and it contains so many inspirational incidents where the power of subconscious mind changed the life of so many persons...must read book...highly recommended for youngsters to build a good future....
","Reviewed in India on 13 June 2018","Highly recommended book....The name says it all....",5,"https://images-na.ssl-images-amazon.com/images/I/81UPANSSP8L.jpg","428"
"R38J91YX8KL339","SAYANTAN DEB BARMAN","
  I have no idea why people buy this one. I bought it reading the reviews. But this book is a waste of money. Only book I could never finish reading. The same thing is written chapter after chapter. Learn from the author how to stretch a one page idea to a 350+ page book. Also most of the incidences are too supernatural that they are coincidental and not scientific unlike what the book claims.I'm a book lover and this is the only book I regrer buying.
","Reviewed in India on 8 January 2019","Not worth buying",1,"","123"
"R5Q70QB5VEMLL","Shravani Pavaskar","
  This is my first book, I'm not very fond of reading. But my friend recommended this book to me, and just 3 Chapters and I'm already looking forward to read more books. This book has just influenced me emotionally and mentally and I feel the change of my approach towards life. Look forward to finish this book.
","Reviewed in India on 19 January 2019","My First Book Read and It has FLATTERED me ❤️",5,"https://images-na.ssl-images-amazon.com/images/I/71PE+vA0UcL.jpg","96"
"R204BT5GMBEV17","BhaveshB.O.T™","
  This remarkable book has already helped readers the world over achieve the seemingly impossible just by learning how to bring the incredible force of the subconscious under their control. Now you, too, can learn these powerful techniques for changing your life simply by changing your beliefs. Dr. Murphy combines time-honored spiritual wisdom with cutting-edge scientific research to explain the influence of the subconscious mind on everything you do. And he presents simple, practical, and proven-effective exercises that can turn your mind into a powerful tool for improving your everyday life. Filled with inspiring real-life success stories, this invaluable user's guide to your mind will unlock the secrets to success in whatever endeavor you choose. Inside you'll discover how to use the subconscious mind to:* Increase health and even cure the body of many common ailments* Get the promotion you want, the raise you need, the recognition you deserve* Build the confidence to do the things you never dared -- but always wanted -- to do in life* Develop friendships and enhance existing relationships with co-workers, family, and friends* Strengthen your marriage or primary love relationship* Overcome phobias, compulsions, and bad habits* Learn the secret of ""eternal youth"" and much, much more!With this book as your guide, there are no LIMITS to the prosperity, happiness, and peace of mind you can achieve simply by using The Power of Your Subconscious Mind.
","Reviewed in India on 4 July 2019","This book will give you the key to the most awesome power within your reach!",4,"https://images-na.ssl-images-amazon.com/images/I/713sdXTqMVL.jpg
https://images-na.ssl-images-amazon.com/images/I/71To8qhXXiL.jpg
https://images-na.ssl-images-amazon.com/images/I/71bZyZe2mdL.jpg
https://images-na.ssl-images-amazon.com/images/I/71lu1Mp6ELL.jpg
https://images-na.ssl-images-amazon.com/images/I/81+mP6U7KtL.jpg
https://images-na.ssl-images-amazon.com/images/I/810Zsg8AtxL.jpg
https://images-na.ssl-images-amazon.com/images/I/816VqLy-wzL.jpg
https://images-na.ssl-images-amazon.com/images/I/81W6vSREFWL.jpg","60"
"R2AFEN7RGPTS7P","Bijal Visawadia","
  Having read so many books & with technology being a click away, mostly people would have seen videos on other platforms to understand the making of mind & it's nuisances. If you're reading it for first time or the subject is new to you, you will be spellbound 😍 If not then🤐 ( Hope my reading experience helps )⏩The Power of Your Subconscious Mind is simply written and tries to be free of culture or religion.⏩ It is slightly repetitive, but this in itself mirrors the book's idea of subconscious programming.⏩For full effect, the author's advice that it be read at least twice - Isn't that time consuming ?⏩It is also sometimes a bit whimsical and illogical - a bit like the subconscious itself, but Murphy's whole point, in fact, is that if you refuse to try to understand the non-rational mind, your rational desires and plans will be forever sabotaged.⏩The first half of the book is the best, as it explains how the subconscious works.⏩The second half deals with its role and power to transform in areas like marriage, human relations, scientific discovery, sleep, fear, forgiveness and 'eternal youth'.⏩For some the book will be a bit 'way out', but for first time readers it can be an awakening call⏰
","Reviewed in India on 28 February 2019","Mind over Matter",3,"","61"
"R2ZZ3W0L1D8RMS","Amit Singh Maurya","
  I read this book since the last 15 days every day at night before going to bed.now i feel i will be improved mently by this idea that is seen in the book . So I want to recommend the book that person who feel frustratd and depressed in one's life.
","Reviewed in India on 3 May 2018","So I want to recommend the book that person who feel frustratd and depressed ...",5,"","67"
"R2YYYJDN1ENE9","User","
  It is just about self hypnosis or self suggestion, that too if you stretch it to sound more scientific. In reality, it is about miracles (literally) occurring with  self suggestion. Very irrational.. .. with self suggestion somebody gets the dress she wanted as a gift or a somebody who was alone gets into a relationship (here some psychological rationale can be attributed...)I thought the book would be some thing scientific, but it was more based on belief. So personally it was a let down. But even though, I am an atheist, I do not depreciate the power of belief on people who believe in these... Ultimately whatever keeps you in a positive frame of mind is good, if it doesn't infringe on others' peace of mind. This book in that aspect is good, gives people better than God to believe in... yourself, or the unknown self...If you want to know how these miracles can help or to know other people s experiences, this may be a very good book and might help you.But personally for me it is a two star...
","Reviewed in India on 9 November 2018","Title should be ""Irrational miracles by Self suggestion""",2,"","43"
"R2UJ1CLV0U21RE","Ashish ","
  Just terrible, after going through many pages it appeared like the author was rewriting the same thing over and over as if it was meant to brainwash.
","Reviewed in India on 31 October 2018","Terrible.",1,"","44"
"R10NWZ7K2X2ERZ","Amazon Customer","
  This book is filled with religious nonsense. No scientific proof of any concept in it. I am agnostic, and i need proof. and this book failed to provide any.
","Reviewed in India on 12 December 2018","Total crap!",1,"","44"
"R3RZACRHETE8P3","Sushmita","
  An inspiring book. If u r a person who is unable to change yourself but unable to do so here is an answer to all ur questions. I loved reading it.. the book gives positive outlook. Delivery and packaging by amazon was superb by amazon
","Reviewed in India on 3 August 2018","I loved reading it",5,"","38"
