"id","profileName","text","date","title","rating","images","helpful"
"R1Y7FB1UHNJRAR","Addhaya Anil","
  I watched the documentary of "" The secret "" on youtube and thought of buying it asap. I read the book too and trust me, it's just amazing.This book transformed me and my life. It's a life changing book, I must say. The cover is so good and so the title.
","Reviewed in India on 21 June 2017","it's just amazing. This book transformed me and my life",5,"","309"
"R17E006HZ6O4WG","SAINATH REDDY","
  The book is of excellent quality, I wish all other books of paperback should be like this with affordable price.About the content in the book-All that we are is the result of what have thought. We are made of our thoughts; we are moulded by our thoughts. The above was a meaning of shloka from bhagavadgita. Buddha,swami Vivekananda are also some of great humans whose teachings tells us that the essence of human was his thoughts. THIS BOOK IS A GOOD ONE which tells us about law of attraction that repeated thoughts about what we want will create a force of attraction which attracts our goal towards us.Because our thoughts become our words, words become actions, actions become habits, habits led you to your destiny.
","Reviewed in India on 23 August 2018","WE ARE WHAT WE THINK",5,"","186"
"R3IOC8MIQPLE7M","V","
  Love love love this book. For the ones who want to bring a shift in their lives. A must read. Change your life by changing your thoughts. It is as simple and as complicated as that. And do not forget to mix emotions with your thoughts to bring the desired results:)
","Reviewed in India on 1 March 2018","Love love love this book",5,"","100"
"R3TWP569S93HBI","Roku","
  Wanted to purchase this book for a long time. Had already seen the movie. But didn't read it. Feels so good
","Reviewed in India on 8 December 2018","Life changing book",5,"https://images-na.ssl-images-amazon.com/images/I/819q+OZWklL.jpg
https://images-na.ssl-images-amazon.com/images/I/81aeSLI5zxL.jpg","48"
"RN28Q8BGL30HD","Atul","
  your time and money on this if you come from thinking that steps outside of scientific and logical reasoning. well, that may sound like a tall insult here but I don't mean to. the content is extremely boring if you look for anything beyond the universe of faith belief and that sort. well, I bought this book! big mistake ! and I corrected it soon by giving it away to someone who was quite keen on reading it. there there !
","Reviewed in India on 26 January 2019","Its non-scientific, illogical - do not waste (contd. in review....)",1,"","40"
"RGSFEMDBHX0YS","Lekshmy","
  The book is of very bad quality.. It seems like the seller took xerox copy (that too of bad quality) of book bought from someone who finished reading & bind it together to form a ""book"". Why because I can see the underlined portions here and there. Papers are  not even well alligned while binding. The worst part is that because of the less quality xerox there are black shades & lines everywhere.It just can ve read ignoring these coz i already have waited a really long time to get a copy because of lockdown and the only seller for english paperback is this only.So if u have any other option please go for it. Coz it wont give u a good feeling after u see a most awaited book in this condition..
","Reviewed in India on 16 September 2020","Vivid book lovers please read this before go for purchase.",1,"https://images-na.ssl-images-amazon.com/images/I/7180-fq8KBL.jpg
https://images-na.ssl-images-amazon.com/images/I/71RM7pk3bgL.jpg
https://images-na.ssl-images-amazon.com/images/I/71bODIcrY+L.jpg
https://images-na.ssl-images-amazon.com/images/I/71bbUqeGRfL.jpg
https://images-na.ssl-images-amazon.com/images/I/71cz0HDG8TL.jpg
https://images-na.ssl-images-amazon.com/images/I/71dbkrapYaL.jpg","19"
"R1HHNAYII6RK1B","My review","
  I have received the book and it seems original although I have received the 10th anniversary edition book, I don't know if its any different than the original. So coming to the book's condition. It is a new book in fairly good condition. It is a paperback book which has foldable cover , the main cover of the book is foldable inside and looks classy .
","Reviewed in India on 9 August 2018","Good condition overall",4,"https://images-na.ssl-images-amazon.com/images/I/71W2eqvagxL.jpg","34"
"R28AMQZS0Z486I","the_book_smugglers","
  I loved every page of the book that I read in the book. It's been a week that I started following them they have started to show the result. It is such a impactful book to read and must read for those who achieve and reach great heights in life
","Reviewed in India on 26 August 2018","Best techniques which helps change our attitude and achieve our goals",5,"https://images-na.ssl-images-amazon.com/images/I/61hSE5-TsgL.jpg","24"
"RDZH3RCTZOR56","BSP","
  Sometimes, some things bother you much more than what they should. You may feel sad, disappointed, lost , moving into depression. Thats when you need to get fired up (motivated). That is what this book SECRET does. Fantastic one.Excellent contribution to mankind by author Rhonda Byrne and co-authors John Assaraf, Michael Bernard Beckwith, Lee Brower,  Jack Canfield, Dr John Demartini, Marie Diamond, Mike Dooley, Bob Doyle, Hale Dwoskin, Dr Ben Johnson and many more. All these people have put in writing their experiences and studies.Great book to read in difficult times. You may also gift it to the needy.
","Reviewed in India on 19 August 2018","Helps a lot, when you are lost.",5,"","20"
"RN2D54V4ZKSUZ","Dr A SRINIVAS","
   Guys don't even think to buy this book from Amazon ! It is nothing but the Xerox of original ! I have seen the original book it has all it's inside pages coloured and very neat and clean , but in this book as it is xeroxed many things are not clear ! If u buy in shop you get some 5-10% discount and it comes near to 500 which is okay ! Because if you include the delivery charges it comes nearly 450  ! So you will get much interested in read if you buy the original one !
","Reviewed in India on 21 July 2019","Fake !",2,"","16"
"R2VNBIAVKQA721","Amazonn Reviewer","
  This my fourth purchaseI have bought this book for my brother and I have gifted this product to so many people and I have a copy for myself also
","Reviewed in India on 14 August 2018","Must read book",5,"","23"
"R3GJ7GZX8YQ9QP","Alesha","
  Good book for troubled minds. Changed my mindset. Please read this book if you think life is difficult. I have got my answers through this book. I wish everyone reads this book.
","Reviewed in India on 26 February 2018","Good book for troubled minds",5,"","24"
"R1A6KFS881SS24","Jyotsna Sandeep","
  Bought this book for gifting, but returning it as it is a defective piece. Amazon, please wake up. Your products are deteriorating day by day. I was once a satisfied customer but not anymore. This is the third item that I found defective.
","Reviewed in India on 7 March 2018","I was once a satisfied customer but not anymore",2,"https://images-na.ssl-images-amazon.com/images/I/71uO8Hbf2-L.jpg","23"
"R2VC3FX90AG3BN","Rashi S.","
  The lady has written a great book undoubtedly. I will just make a comment on the print and quality of paper of the book.It wasn't really up to the mark.Few initial pages had double printing so I had problems reading the text.But the price is very reasonable so one might overlook such inconveniences.
","Reviewed in India on 22 October 2017","The lady has written a great book undoubtedly",3,"","10"
"R2JCX720J092Y3","Akanksha","
  Its a must buy book. I love it..and rest you can know from the book itself. Excellent service from amazon.
","Reviewed in India on 10 July 2016","Happy buyer",5,"https://images-na.ssl-images-amazon.com/images/I/61Je7GCD1zL.jpg
https://images-na.ssl-images-amazon.com/images/I/71vAry9xZ9L.jpg","32"
"R3SIU9Y1CTRFE7","Nikhil Varma","
  Well and truly a life changing book. While some may argue whether the law of attraction really works or not. To the non-believers, all I can say is, try this for a predetermined period of time. It's as simple as that.Believe you me just by realigning your thoughts and ofcourse with relentless and a genuine effort at that, you can see those thoughts turning into a reality.
","Reviewed in India on 25 October 2018","It's true, with a conscious effor your thoughts can turn into reality",5,"","1"
"R22HDXYOUUZXWH","vidul kelshikar","
  One star because I have rate it, torn pages, bad quality I guess it's pirated....
","Reviewed in India on 12 July 2019","Pirated book",1,"","12"
"R2FD9BL8YKESGI","Amudala Satyanarayana, Journo, TIRUPATI","
  “The Secret” by Rhonda Byrne of Australia, is one of most attractive Books on the Law of Attraction. The book provides you insight to look into forces of law of attraction in picturesque English. A very Good motivational book.
","Reviewed in India on 31 December 2017","Very Good",5,"","13"
"R2UDLAI4INVDMK","Nivedita","
  Ridiculously bad condition of the book i have received just now. Also content seems to be altered , full of grammatical mistakes. Don't waste your money guys just by looking at the price they quote, you will be disgusted to see it. Stop scamming people. Even a thrift stores on the roadside are selling good quality books much much better than this  for 100 bucks only.
","Reviewed in India on 8 September 2020","DONT BUY GUYS, RIDICULOUSLY BAD QUALITY",1,"https://images-na.ssl-images-amazon.com/images/I/71-NDFcH3pL.jpg
https://images-na.ssl-images-amazon.com/images/I/71jmsn3X1wL.jpg","1"
"R1E7ZNJK4MQALL","The Leaf let","
  This book kind of hypnotize you and encourages you to do a task or work, you want to do.So, before reading this book, please think twice (if you have a goal in life or some aim etc) about what your heart really wants to do. Only after you are 110 percent sure of your aim, then start reading the book by keeping the aim in your mind. This book makes you do it. Please don't rush in doing anything. Remember -Rome can't be built in a day.Warning:Until you are completely sure of what you want to do, don't read even a single page from it, because if once things are done, can't be changed.Wish you all the best.
","Reviewed in India on 1 November 2019","Dangerous book",3,"","1"
"R295D3KMGWUYNT","Amazon Customer","
  A wonderful book to help people transform their lives.This book teaches you how you can create a happy successful life. Using this has brought miracles to my life.I keep it in my bag always. Whenever I am in any doubt or confusion I just open this book randomly and i get my answer or clue to what Should be done.
","Reviewed in India on 13 March 2018","Must buy",5,"","1"
"R2XM9GVUNTX25T","Kaizad","
  I will keep my review a secret :) Jokes apart this book has changed lives of millions and for a reason! It's not that this was the first book ever to talk about the subject but the team has packaged it very well, right from the content to the marketing of this book they have got it right. Some may find it repetitive but it helps to emphasise the point. Overall recommended must read.
","Reviewed in India on 6 April 2019","Secret",4,"","1"
"R28GKMFVLKC5XO","AB Dhuri","
  Excellent book...No wonder it is best seller. One may have faith and eagerness while reading this. Simple language and smooth flow makes it a sure go to, once you need support. Secret is one to follow when the mind remains cluttered with thoughts.
","Reviewed in India on 25 August 2019","You gotta learn the secret to earn in life",5,"","1"
"R2GAX3VL6HJ7U","Nitin","
  First had to buy from Some non amazon fulfilled seller , Crap.used sort of, also costly .returned  , then bought from amazon fulfilled seller , Yes , that the quality amazon is known for and winning customers heart's throughout the globe , Excellent quality and cheaper too
","Reviewed in India on 13 May 2017","excellent",5,"","1"
"R3VVZMD6YFY5CA","Vishakha","
  I had read this book in 2010 from my school library and became a big fan of it, everything I realized was true. After that I attracted only positivity and everything I wanted in my life and felt Happy for it and I received it. Also, I was not in a condition to buy this book, never thought I'd own it. However, moving on in life I forgot to use it and got lost. It was recently that I felt I needed this book and I'm a happy owner of it. Thanks to the author for such an amazing book. Whatever you believe comes true.
","Reviewed in India on 27 January 2019","Life changer",5,"","1"
"R2UNZ1S20YD1ZB","Tania Giri","
  This is truly a life changing book.  It has helped me and people around me for the better. Being a believer of law of attraction and receiver of all my desires, I'm so grateful to have my own paperback copy of this book, which I have bought at a heavy discount from Amazon.
","Reviewed in India on 4 May 2018","Life Changing book",5,"https://images-na.ssl-images-amazon.com/images/I/81OmflI44hL.jpg","1"
"R2Q2DC9K3ORFZR","Sreeparna De","
  Very very disappointed. Not authenticated product.DO NOT BUY from this seller.Like others showed, It's kind of black and white xerox copy of the colored book.Very low quality.
","Reviewed in India on 19 March 2018","Do not buy from this seller",1,"","11"
"R1RIDKKN9NODZU","SRIDEVII","
  RECENTLY BOUGHT FEW BOOKS WRITTEN BY RHONDA BYRNE, ALL HER BOOKS ARE EXTREMELY POWERFUL LOTS OF INFORMATION FOR CONFUSED PEOPLE AND WHO ARE ANXIOUS WORRIED DEPRESSED IN LIFE, IT BOOSTS YOUR MORALE AND GIVES U IMMENSE CONFIDENCE, THOUGH I PURCHASED IT VERY LATE AFTER BEING WRITTEN, I THOROUGHLY ENJOYED IT. READING ALONE WILL NOT SUFFICE BUT IMPLEMENTING WHAT SHE HAS WRITTEN WILL HELP READERS MAKE THEIR LIVES BETTER
","Reviewed in India on 16 December 2018","AWESOME AWEINSPIRING",5,"","1"
"R300LAHFXXN7P6","Jagan Kornana","
  This book teaches you about law of attraction, positive thinking, self-belief and frequency of our thought processes. Most of the time it explains that positive thinking will bring more same kind of thoughts and negative thinking will bring more negative thoughts. Whatever you believe will happen in your life. Good book to read.
","Reviewed in India on 10 June 2018","The law of attraction!",5,"","1"
"R2FRJEX8PPJI2C","Karthick Nagarajan","
  -The Secret => surely bring you love and joy for your entire existence...- The author has capitalized the word ""You"", since he has created the book just for us and made a personal connection with the readers... Because the secret has been created for us. As we travel down the pages, we will learn the secret, how we can have it, who we really are and will come to know the true magnificence that awaits for us...The Law of attraction can be summed up in three words: Thoughts become Things!Henceforth, we will decide right now that we are going to think only good thoughts...- The main powerful technique is meditation, even just for three to ten minutes to begin with, will leads to incredible power of gaining control over our thoughts.Your thoughts and your feelings create your life. It will always be that way. Guaranteed!We can create our own universe as we go along!When I completed around 50% in this book, some kind of instinct pulled me that I have chosen an awesome book of lifetime, which does gonna have a lifetime impact and goodness throughout the life...Law of attraction determines & controls many other laws like Law of love, money, health & happiness...THE SECRET BEHIND THE SECRET :: Nothing is excluded from the law of attraction... Your life is a mirror of the dominant thoughts you think...—Rhonda Byrne, The Secret...
","Reviewed in India on 4 October 2020","Awesome book to read",5,"","0"
"RTTBAXW3NA8EP","Amazon Customer","
  They tell it's a hardcover one but what you get is not hardcover. It's like a tiny notebook and not hardcover edition. Guys buy it from other site or anything else but not this one.
","Reviewed in India on 19 August 2017","ordered hardcover and got a thin covered tiny book.",1,"","13"
"R2Q5M56PEPAF0V","Sandy","
  It is a must read in order to discover oneself understand one's true needs and desires, improve one's life in every possible aspect and make the most of the power which resides within oneself.i ordered this book in hardcover which was in good condition
","Reviewed in India on 25 June 2018","i ordered this book in hardcover which was in good",5,"","1"
"R2J498GWMJ7X0Q","anmol vadde","
  This book works like a medicine.it is not just about reading it line to line. it is about putting into practice what we read.overall the experience of reading this book was great.i will definitely preserve this book for a long time and keep reading it as frequently as possible.
","Reviewed in India on 8 January 2019","i started feeling good about me",5,"","1"
"R1X8W5F5OF2RGM","Saumya","
  It is the best read in the self-help genre among all the books, I have read in this genre. The book describes the law of attraction and the law of creation practically. It says that we receive what we truly want to receive from the Universe. We are what we believe we are and how we judge others. We attract everything and everyone, whether it is positive or negative. It's all about our thoughts.Highly recommend it.
","Reviewed in India on 18 March 2020","A worth read. A practical approach to control your thoughts.",5,"","0"
"R2IX7H3BPB91J5","Umesh Yadav","
  Well this book focuses on the law of attraction, and itself tells that what you feel you attract to your side. This is true you will know when you read some of other books about subconscious mind and heart its power. this book is like fantasy book for me you can also try out its teachings as well. The thing that I liked much about this book is believing yourself and don't limit yourself in achieving your goals. I have to tried some of its teachings to achieve some of my smaller goals and I am happy with it and it actually works but you have to research a lot more about it.
","Reviewed in India on 7 December 2019","Believe yourself and feel it untill you get it.",5,"","0"
"R18IRI6ZA0DFM0","Raghavendra R","
  Enjoyed reading every bit of it, deep secrets of life is revealed.
","Reviewed in India on 18 May 2017","Five Stars",5,"https://images-na.ssl-images-amazon.com/images/I/71-6CmgYL5L.jpg
https://images-na.ssl-images-amazon.com/images/I/710ZAC2wV9L.jpg","12"
